run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
40	3	3	15997.2908953091	-500	0	12000.2884771517	-2.91123519517517	0	215656.797022884	10000	3000	 -5	0	0	0
14	3	3	1712.3886042066	-36.9048111803584	0	11763.7574155308	-2.84376758502924	0	214081.630531741	10000	3000	 -5	0	0	0
55	2	3	10009.1710715646	-5.7045621885811	0	1732.84240528212	100	0	214445.372859619	10000	3000	 -5	0	0	0
22	3	3	1523.61229424591	40.2595889072014	0	10697.0837766107	-5.35062670597207	0	214998.193045044	10000	3000	 -5	0	0	0
67	3	3	10171.9651189654	-5.73187566121045	0	1695.44754459496	100	0	214372.475471947	10000	3000	 -5	0	0	0
95	4	3	9976.72503724144	-5.59267228134839	0	1697.52944234335	100	0	213561.424406286	10000	3000	 -5	0	0	0
95	4	3	12501.7308201472	-3.11686198830571	0	2706.55649209102	-189.276889644636	0	216014.631621462	10000	3000	 -5	0	0	0
24	3	3	8842.83852593559	-409.539505870697	0	12067.1616445172	-2.91056931807995	0	215056.182425639	10000	3000	 -5	0	0	0
10	3	3	1294.02350129398	-23.2575971432288	0	12023.8818927866	-3.02256397633727	0	214548.209128021	10000	3000	 -5	0	0	0
60	3	3	10815.0429872048	-8.66313882974286	0	2304.08659044722	24.4000121223143	0	215409.575390711	10000	3000	 -5	0	0	0
87	4	3	2819.82211689945	-200.090832480591	0	12596.6390396372	-3.17045043939809	0	216229.441499373	10000	3000	 -5	0	0	0
7	4	3	793.813979466881	-500	0	12802.8152161032	-3.26515557882387	0	215109.422468166	10000	3000	 -5	0	0	0
40	4	3	2649.83999598615	-284.417746707082	0	12428.240920197	-3.1240368031815	0	213497.937519272	10000	3000	 -5	0	0	0
87	3	3	1022.35961677381	-98.8310129342238	0	12536.5256954473	-3.16235508885269	0	214555.411387611	10000	3000	 -5	0	0	0
97	3	3	10648.8097028165	-5.83203412954663	0	1707.14565299492	32.5270719423537	0	215703.294163366	10000	3000	 -5	0	0	0
59	3	3	10941.0915591102	-5.58351305964849	0	1587.52067834479	20.2737558777591	0	214169.509043879	10000	3000	 -5	0	0	0
99	3	3	1809.64482555472	19.0233336587241	0	10758.5609079383	-6.20553966585444	0	213370.606451967	10000	3000	 -5	0	0	0
23	3	3	11764.8549203867	-3.02901201874051	0	1269.54126808553	-13.383692490035	0	212737.809510461	10000	3000	 -5	0	0	0
26	3	3	10652.1729289984	-6.84049177144729	0	1962.85380556699	29.0904136398302	0	215445.740901818	10000	3000	 -5	0	0	0
12	3	3	4697.98051815696	-373.28988835077	0	12331.169177289	-3.08874920137583	0	213277.724234832	10000	3000	 -5	0	0	0
78	4	3	12187.321226512	-3.01675336786246	0	3800.27458250861	-88.4708868282401	0	217607.690131705	10000	3000	 -5	0	0	0
78	4	3	2118.78719359779	-21.5566997196582	0	11542.5037894626	-2.87721874228462	0	214878.983959349	10000	3000	 -5	0	0	0
86	3	3	10710.4699411473	-6.2352169192246	0	1817.5079479359	19.2697956373101	0	212832.649652182	10000	3000	 -5	0	0	0
72	3	3	9988.67924396596	-7.36386980461824	0	2106.57397895773	55.5186824170425	0	213107.810808405	10000	3000	 -5	0	0	0
