run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
18	3	3	224.519314017342	-0.527525751457274	0	918.257516273667	-9.06620962589628	0	8930.34509839143	1000	200	 -10	0	0	0
53	3	3	21.8537572615086	-21.3312615515231	2.22044604925031e-18	628.24286474181	-21.3312726450571	0	1907.96546201131	500	100	 -25	 -10	0.0	0.0
58	3	3	2.66351351786391	-4.26102299915259	0	463.10992703686	-16.65794734963	0	1545.02364757755	500	100	 -25	 -10	0.0	0.0
53	3	3	21.8537572615086	-21.3312615515231	2.22044604925031e-18	628.24286474181	-21.3312726450571	0	1907.96546201131	500	100	 -25	 -10	0.0	0.0
2	3	3	599.088290122164	-29.3038756004395	0	90.3494126627315	-8.56772017991832	0	1835.9627321576	500	100	 -25	 -10	0.0	0.0
5	3	3	94.7799332744307	-9.70502928254735	0	406.60658729407	-18.2156982837055	0	1732.84550748173	500	100	 -25	 -10	0.0	0.0
31	3	3	1.0086040743887	-16.9328115429797	0	504.505341151357	-16.9327251217703	0	1680.68553185181	500	100	 -25	 -10	0.0	0.0
59	3	3	584.638217948678	-26.8086486536574	6.66133814775094e-18	66.1280344568195	-7.54546139309297	2.22044604925031e-18	1780.81227329627	500	100	 -25	 -10	0.0	0.0
25	3	3	612.590834261455	-51.4668764616683	6.66133814775094e-18	182.681322263047	-10.5782876018694	4.44089209850063e-18	1695.80643022423	500	100	 -25	 -10	0.0	0.0
25	3	3	612.590834261455	-51.4668764616683	6.66133814775094e-18	182.681322263047	-10.5782876018694	4.44089209850063e-18	1695.80643022423	500	100	 -25	 -10	0.0	0.0
25	3	3	612.590834261455	-51.4668764616683	6.66133814775094e-18	182.681322263047	-10.5782876018694	4.44089209850063e-18	1695.80643022423	500	100	 -25	 -10	0.0	0.0
2	3	3	302.390383522663	-26.0368918894416	0	239.391123587206	-10.0997934921149	0	1857.88699097811	500	100	 -25	 -10	0.0	0.0
2	3	3	599.088290122164	-29.3038756004395	0	90.3494126627315	-8.56772017991832	0	1835.9627321576	500	100	 -25	 -10	0.0	0.0
74	3	3	103.313604343367	-7.88305202412211	1.11022302462516e-17	613.539206238334	-43.8780020908624	0	1507.62258003394	500	100	 -25	 -10	0.0	0.0
74	3	3	103.313604343367	-7.88305202412211	1.11022302462516e-17	613.539206238334	-43.8780020908624	0	1507.62258003394	500	100	 -25	 -10	0.0	0.0
48	3	3	117.689169333028	-11.3827220281094	6.66133814775094e-18	473.479387271783	-23.0501752789475	1.55431223447522e-17	1802.68919424648	500	100	 -25	 -10	0.0	0.0
2	1	3	484.903656547432	-22.3440185780889	9.54791801177635e-17	89.9001596109494	-9.43481502504098	8.88178419700125e-18	1776.78208516486	500	100	 -25	 -10	0.0	0.0
2	1	3	484.903656547432	-22.3440185780889	9.54791801177635e-17	89.9001596109494	-9.43481502504098	8.88178419700125e-18	1776.78208516486	500	100	 -25	 -10	0.0	0.0
2	1	3	484.903656547432	-22.3440185780889	9.54791801177635e-17	89.9001596109494	-9.43481502504098	8.88178419700125e-18	1776.78208516486	500	100	 -25	 -10	0.0	0.0
43	3	3	2461.13132492226	-499.999999999999	7.54951656745107e-17	330.379593689287	-12.7371565400081	2.30926389122033e-16	1755.23941570867	500	100	 -25	 -10	0.0	0.0
48	3	3	117.689169333028	-11.3827220281094	6.66133814775094e-18	473.479387271783	-23.0501752789475	1.55431223447522e-17	1802.68919424648	500	100	 -25	 -10	0.0	0.0
48	3	3	117.689169333028	-11.3827220281094	6.66133814775094e-18	473.479387271783	-23.0501752789475	1.55431223447522e-17	1802.68919424648	500	100	 -25	 -10	0.0	0.0
