run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
66	3	3	5178.2676281498	-25.2069018237334	1.62314606200198e-15	843.830742183143	-8.59647634821397	3.77475828372553e-17	27159.858027196	5000	1000	 -25	 -10	0.0	0.0
4	2	3	272.971200479899	-7.30640864489861	2.22044604925031e-18	5267.8297061276	-19.493790084613	1.99840144432528e-17	27485.8402534763	5000	1000	 -25	 -10	0.0	0.0
94	3	3	2525.37870691322	-13.2401982535254	4.44089209850063e-18	4567.39425295635	-38.3430465849569	4.44089209850063e-18	28854.2082905719	5000	1000	 -25	 -10	0.0	0.0
95	3	3	920.82091721695	-10.0347537224742	0	5382.4448441693	-25.1030747416618	0	28217.233286632	5000	1000	 -25	 -10	0.0	0.0
93	3	3	3893.1927462353	-38.0071480521774	3.77475828372553e-16	2699.55837167276	-13.6792163402947	5.75095526755831e-16	27552.6295988792	5000	1000	 -25	 -10	0.0	0.0
4	3	3	801.422743162916	-8.52589720439738	0.000385145497886041	5248.57895836021	-27.4168008455495	8.88178419700125e-18	25684.1662878913	5000	1000	 -25	 -10	0.0	0.0
16	1	3	1820.42247352964	-11.3864616275961	0	4619.36051773132	-32.2473649738581	0	27478.5720040867	5000	1000	 -25	 -10	0.0	0.0
39	3	3	4865.58617977378	-30.1289952522747	2.27773355732097e-14	1670.0004141859	-11.7641224114998	1.36268774042492e-14	28012.0097950208	5000	1000	 -25	 -10	0.0	0.0
16	2	3	5499.36001423567	-21.4505344007302	2.89102075612391e-15	261.399778558634	-7.25431405666135	2.50910403565285e-16	26697.8112991722	5000	1000	 -25	 -10	0.0	0.0
36	3	3	4488.84604228113	-23.1306734728089	1.99840144432528e-17	1216.01306053077	-10.7700757546088	8.88178419700125e-18	27430.9369449723	5000	1000	 -25	 -10	0.0	0.0
75	3	3	1501.84427920964	-12.2093869037061	3.62376795237651e-15	4670.86637564613	-26.9445266531639	1.59872115546023e-15	27356.6703487232	5000	1000	 -25	 -10	0.0	0.0
18	3	3	5373.23011964488	-20.1911846985611	1.19082521621294e-14	313.608423388092	-8.25269861646123	5.32907051820075e-17	27571.6749523169	5000	1000	 -25	 -10	0.0	0.0
84	3	3	1621.9872864958	-10.9713643994865	0	4753.6216007665	-31.2594889801454	0	27164.7337884749	5000	1000	 -25	 -10	0.0	0.0
54	2	3	2580.49381267468	-33.0733688365764	4.9960036108132e-16	3151.93618890524	-14.24811394165	1.16351372980716e-15	26758.7532147526	5000	1000	 -25	 -10	0.0	0.0
83	3	3	5256.41211303785	-22.3896564946242	9.76996261670138e-17	664.523483432551	-8.85019941382262	2.22044604925031e-17	27978.5140963773	5000	1000	 -25	 -10	0.0	0.0
