run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
433	1	3	0.00543825278156215	0.0872714490422183	0	0.0101016755748443	-12.8721688554732	0.0556877488035003	18839.1134102479	0.005	0.01	0	 -10	0.01	0.05	full	rep1
475	1	3	0.0128011147003984	-2.88729374913473	0.0499528990822893	0	0	0	18801.6899531299	0.005	0.01	0	 -10	0.01	0.05	reduced	rep1
68	1	3	0.0092846757777561	-10.5641115893605	0.0724825132220642	0.00559880921568197	-0.412115421772906	0	18675.6015045122	0.005	0.01	0	 -10	0.01	0.05	full	rep2
419	1	3	0.0130270443349881	-3.11548113341437	0.0540986121952029	0	0	0	18656.9530557255	0.005	0.01	0	 -10	0.01	0.05	reduced	rep2
101	1	3	0.00884321699063975	-12.2847716698265	0.0623327632637982	0.00665570859591455	-0.838466657169656	0	19421.9336159505	0.005	0.01	0	 -10	0.01	0.05	full	rep3
204	1	3	0.0133161909523815	-3.06467480520977	0.0414690532268265	0	0	0	19400.1696601594	0.005	0.01	0	 -10	0.01	0.05	reduced	rep3
240	1	3	0.00511663385747537	-0.082005956206959	0	0.0103458519639188	-11.9081714827378	0.0555606080338704	18582.6716027946	0.005	0.01	0	 -10	0.01	0.05	full	rep4
463	1	3	0.0129871864439143	-3.19044006328101	0.0501007139732304	0	0	0	18550.1482119054	0.005	0.01	0	 -10	0.01	0.05	reduced	rep4
181	1	3	0.0107052066313082	-10.7713710041447	0.0463812337516024	0.00450224878205772	0.493957302487575	0	18603.8232148546	0.005	0.01	0	 -10	0.01	0.05	full	rep5
246	1	3	0.0128578217856395	-3.06621347538851	0.0497505786606132	0	0	0	18566.8925921583	0.005	0.01	0	 -10	0.01	0.05	reduced	rep5
