run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
433	1	3	0.00543825278156215	0.0872714490422183	0	0.0101016755748443	-12.8721688554732	0.0556877488035003	18839.1134102479	0.005	0.01	0	 -10	0.01	0.05	full	rep1
337	1	3	0.00620378439323849	-0.445776015639633	0.0338511963352291	0.00941384422724718	-14.0692148529074	0.0338511963352291	18838.9637334612	0.005	0.01	0	 -10	0.01	0.05	reduced	rep1
68	1	3	0.0092846757777561	-10.5641115893605	0.0724825132220642	0.00559880921568197	-0.412115421772906	0	18675.6015045122	0.005	0.01	0	 -10	0.01	0.05	full	rep2
354	1	3	0.00685263109632331	-1.10774819238639	0.0425067458840966	0.00807135737794508	-11.916728945472	0.0425067458840966	18675.4714981651	0.005	0.01	0	 -10	0.01	0.05	reduced	rep2
101	1	3	0.00884321699063975	-12.2847716698265	0.0623327632637982	0.00665570859591455	-0.838466657169656	0	19421.9336159505	0.005	0.01	0	 -10	0.01	0.05	full	rep3
232	1	3	0.00742168514007605	-1.24307215461517	0.0316852333018613	0.00801921127421568	-12.889533729044	0.0316852333018613	19421.1890279268	0.005	0.01	0	 -10	0.01	0.05	reduced	rep3
240	1	3	0.00511663385747537	-0.082005956206959	0	0.0103458519639188	-11.9081714827378	0.0555606080338704	18582.6716027946	0.005	0.01	0	 -10	0.01	0.05	full	rep4
437	1	3	0.00960372273457827	-12.8609808180294	0.0350516809591188	0.00590669601793018	-0.63461649327971	0.0350516809591188	18582.5887273552	0.005	0.01	0	 -10	0.01	0.05	reduced	rep4
181	1	3	0.0107052066313082	-10.7713710041447	0.0463812337516024	0.00450224878205772	0.493957302487575	0	18603.8232148546	0.005	0.01	0	 -10	0.01	0.05	full	rep5
442	1	3	0.010226186653973	-11.271676725083	0.0314794063390396	0.005012180532238	0.0363685117972421	0.0314794063390396	18603.7957131303	0.005	0.01	0	 -10	0.01	0.05	reduced	rep5
345	1	3	0.00879802422848581	-1.73832525606097	0.0631618969547232	0.00727280360231824	-23.371844274419	0.0148285218365719	18554.1244766139	0.005	0.01	0	 -10	0.01	0.05	full	rep6
311	1	3	0.00785246625953592	-19.4598648168135	0.0469258742051841	0.00799516082987533	-1.39589711522125	0.0469258742051841	18553.8591059961	0.005	0.01	0	 -10	0.01	0.05	reduced	rep6
487	1	3	0.00438929603853543	0.581278873059288	0	0.0107934800526892	-9.23437644311541	0.055016110185211	19271.2928130599	0.005	0.01	0	 -10	0.01	0.05	full	rep7
364	1	3	0.010407612366256	-9.30918269227517	0.037585176183637	0.00474085341739734	0.214795153088293	0.037585176183637	19271.0345793078	0.005	0.01	0	 -10	0.01	0.05	reduced	rep7
368	1	3	0.00734871485469664	-17.0819913252806	0.0284530458842176	0.00800978214461681	-1.3040739819499	0.0399637506389813	18807.149901438	0.005	0.01	0	 -10	0.01	0.05	full	rep8
250	1	3	0.00781850664319734	-1.21669672827963	0.0353672588576041	0.00751901837673102	-16.5587668108468	0.0353672588576041	18807.1376318897	0.005	0.01	0	 -10	0.01	0.05	reduced	rep8
309	1	3	0.00828871645628928	-1.64086023929384	0.0529548738658178	0.00661452435692382	-13.9602498378722	0.0391495956475284	18764.3359589495	0.005	0.01	0	 -10	0.01	0.05	full	rep9
399	1	3	0.00795500886483873	-1.51396470269613	0.0477022249485133	0.00691588375216527	-13.2299462548395	0.0477022249485133	18764.3290389928	0.005	0.01	0	 -10	0.01	0.05	reduced	rep9
363	1	3	0.00454185570504376	-0.0893218216362359	0	0.0101713061416541	-8.1724825946701	0.0516217037778763	19012.3600182939	0.005	0.01	0	 -10	0.01	0.05	full	rep10
397	1	3	0.00966137780635429	-8.27874743253199	0.0344094553146166	0.005017533112805	-0.470130959747151	0.0344094553146166	19012.1615594262	0.005	0.01	0	 -10	0.01	0.05	reduced	rep10
240	1	3	0.00536108434751577	-0.236224550899969	0	0.0101740273135288	-11.693647834175	0.0589949176560159	18898.3490629537	0.005	0.01	0	 -10	0.01	0.05	full	rep11
100	1	3	0.00932216977229162	-12.7832184587491	0.0361980480600988	0.00626504446474061	-0.810909418014549	0.0361980480600988	18898.0991393914	0.005	0.01	0	 -10	0.01	0.05	reduced	rep11
306	1	3	0.00977628735074124	-9.81505212069097	0.0482491352462381	0.00506862944707726	0.0762210495958507	0	18977.4383830219	0.005	0.01	0	 -10	0.01	0.05	full	rep12
470	1	3	0.00583333439815739	-0.436304383038577	0.0306515125136077	0.00905921822486082	-10.5782950871738	0.0306515125136077	18977.4195944624	0.005	0.01	0	 -10	0.01	0.05	reduced	rep12
78	1	3	0.00304496043859291	2.19331590151978	0.00848391907749148	0.0110481515773152	-8.03354436970611	0.0206101502731006	18106.3375474848	0.005	0.01	0	 -10	0.01	0.05	full	rep13
188	1	3	0.0030790174858232	2.11266781674835	0.0179332267229595	0.0110153036418298	-8.04610177560052	0.0179332267229595	18106.3374984388	0.005	0.01	0	 -10	0.01	0.05	reduced	rep13
105	1	3	0.0090033153790364	-14.139976953921	0.0151552906064403	0.00672628755114364	-0.810985473458014	0.0494513799428445	19112.1503990169	0.005	0.01	0	 -10	0.01	0.05	full	rep14
254	1	3	0.0095612135849045	-13.1216320615946	0.0316328512931618	0.00610716558577526	-0.453892360320409	0.0316328512931618	19112.096349205	0.005	0.01	0	 -10	0.01	0.05	reduced	rep14
424	1	3	0.00762627514950364	-1.28985505558268	0.0484914480050876	0.00809458464229199	-15.5086466142619	0.0297092674855705	19056.5749549271	0.005	0.01	0	 -10	0.01	0.05	full	rep15
198	1	3	0.00722493363882635	-1.10491072663058	0.0400781171370053	0.00844377741684557	-14.6093365857524	0.0400781171370053	19056.551317827	0.005	0.01	0	 -10	0.01	0.05	reduced	rep15
67	1	3	0.00636003071279951	-15.7409433889031	0	0.00825466110148607	-1.73723661687113	0.0572006593241575	18026.1933161091	0.005	0.01	0	 -10	0.01	0.05	full	rep16
9	1	3	0.00697883992443244	-1.1974974099129	0.0360141787097957	0.00748430569096638	-12.7368457379437	0.0360141787097957	18025.6862225297	0.005	0.01	0	 -10	0.01	0.05	reduced	rep16
45	1	3	0.0112212503325082	-7.82485951926005	0.0390683086600619	0.00347337915803414	1.02743940995244	0.0198196416048945	18846.1250104783	0.005	0.01	0	 -10	0.01	0.05	full	rep17
480	1	3	0.0110955545655108	-7.88393623781861	0.0343363201423768	0.00360179843827699	0.857895839185162	0.0343363201423768	18846.1244559564	0.005	0.01	0	 -10	0.01	0.05	reduced	rep17
405	1	3	0.00457840813515186	0.429787874223506	0	0.0105843739726053	-9.72662103191168	0.0484682718038432	19106.0243110676	0.005	0.01	0	 -10	0.01	0.05	full	rep18
467	1	3	0.0101833619368276	-9.88933240856572	0.032376031203385	0.00495810248548759	0.0739613970490191	0.032376031203385	19105.8192181523	0.005	0.01	0	 -10	0.01	0.05	reduced	rep18
471	1	3	0.00970051284184101	-11.5096756235423	0.0279037167090036	0.00507634228902341	-0.265163128139094	0.0570067990464568	17737.9684345524	0.005	0.01	0	 -10	0.01	0.05	full	rep19
145	1	3	0.0101303881798384	-10.9175272000075	0.0387137868429534	0.00459655968689941	0.112702828560056	0.0387137868429534	17737.9612074243	0.005	0.01	0	 -10	0.01	0.05	reduced	rep19
95	1	3	0.00368141027654989	0.665735057956205	0	0.0106501443835435	-8.03453287134667	0.04745423439838	18269.4364776925	0.005	0.01	0	 -10	0.01	0.05	full	rep20
43	1	3	0.00407437241296939	0.244161654972498	0.0346032409295418	0.0102589956122763	-8.22102125263333	0.0346032409295418	18269.3941672527	0.005	0.01	0	 -10	0.01	0.05	reduced	rep20
50	1	3	0.00527245354396302	0.156802673023803	0	0.00955807928104616	-10.3845853372193	0.0610140610687828	18906.9898649381	0.005	0.01	0	 -10	0.01	0.05	full	rep21
139	1	3	0.00896412888475404	-10.7029051380535	0.0369322908424302	0.00583413351507416	-0.271021606111321	0.0369322908424302	18906.6547047459	0.005	0.01	0	 -10	0.01	0.05	reduced	rep21
420	1	3	0.0107852007902988	-8.20110163365154	0.0356059905104795	0.00383030227403846	0.680926099611223	0	18753.4041926765	0.005	0.01	0	 -10	0.01	0.05	full	rep22
215	1	3	0.00399843010407878	0.461796708887775	0.0255888350351853	0.0105944860436348	-8.19643113250326	0.0255888350351853	18753.2884532521	0.005	0.01	0	 -10	0.01	0.05	reduced	rep22
181	1	3	0.0101027801768479	-9.25314268944669	0.0333423882970762	0.0045378832336119	0.26025956618785	0.0362750405802096	18517.7979325981	0.005	0.01	0	 -10	0.01	0.05	full	rep23
180	1	3	0.0101329077048442	-9.23282982516867	0.0343180086070688	0.00450716767818545	0.288106826140987	0.0343180086070688	18517.7978586839	0.005	0.01	0	 -10	0.01	0.05	reduced	rep23
260	1	3	0.00478085695196888	0.586379369213667	0	0.0102849239318831	-11.6230387649313	0.0413897713986884	18488.76209026	0.005	0.01	0	 -10	0.01	0.05	full	rep24
426	1	3	0.00996363039233053	-11.8084600443976	0.026763167069594	0.00508395630855631	0.282935874274313	0.026763167069594	18488.5227605745	0.005	0.01	0	 -10	0.01	0.05	reduced	rep24
16	1	3	0.00690441515660537	-1.3376593894806	0.0468698511242163	0.00836004567748802	-11.3093146960386	0.041865963086931	19034.1189770376	0.005	0.01	0	 -10	0.01	0.05	full	rep25
437	1	3	0.00848621312943583	-11.1470772243234	0.0443543301545408	0.00677031568469397	-1.27870772541376	0.0443543301545408	19034.1182988826	0.005	0.01	0	 -10	0.01	0.05	reduced	rep25
113	1	3	0.0093422619732905	-11.9952301174239	0.0632525573023373	0.0058976357584897	-0.596096207554142	0	18693.8982104047	0.005	0.01	0	 -10	0.01	0.05	full	rep26
424	1	3	0.00821828773894472	-13.8361755711043	0.036064152428572	0.0071163182473364	-1.2429341763547	0.036064152428572	18693.6498803977	0.005	0.01	0	 -10	0.01	0.05	reduced	rep26
250	1	3	0.00968638511468697	-8.92387814433188	0.0633444344613544	0.00505355081042112	-0.111353268333536	0	19058.3439320931	0.005	0.01	0	 -10	0.01	0.05	full	rep27
354	1	3	0.00619196569988593	-0.789818790721106	0.0401995392056758	0.0085906271913565	-9.86179439975865	0.0401995392056758	19058.3073213807	0.005	0.01	0	 -10	0.01	0.05	reduced	rep27
191	1	3	0.00672260390045467	-21.7675182302078	0	0.00966223217638837	-2.14808394384512	0.0670491583670085	19392.9972467613	0.005	0.01	0	 -10	0.01	0.05	full	rep28
391	1	3	0.00790901216057111	-1.51425226146822	0.0459741502432113	0.00799248774373367	-14.7396046818889	0.0459741502432113	19391.9602495314	0.005	0.01	0	 -10	0.01	0.05	reduced	rep28
345	1	3	0.00767485227139749	-10.4823069903688	0	0.00684185216007339	-1.1609037620909	0.0682691707031438	18703.5223843052	0.005	0.01	0	 -10	0.01	0.05	full	rep29
258	1	3	0.00442151355539141	0.152958372587399	0.0332206657225419	0.0098749767076405	-7.94989815700303	0.0332206657225419	18703.1955763118	0.005	0.01	0	 -10	0.01	0.05	reduced	rep29
393	1	3	0.00486332908434471	-0.419247943441271	0.0893223793416705	0.00970877482619225	-8.66700131512952	0	18549.843760228	0.005	0.01	0	 -10	0.01	0.05	full	rep30
91	1	3	0.0110421028510916	-7.77899948347003	0.0310687101892935	0.00346574177582027	0.8179891460488	0.0310687101892935	18549.792766061	0.005	0.01	0	 -10	0.01	0.05	reduced	rep30
241	1	3	0.00528464448520116	-0.221674442679056	0	0.0103671829551062	-11.2035562162396	0.0628997601070659	19126.9208617035	0.005	0.01	0	 -10	0.01	0.05	full	rep31
