run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
433	1	3	0.00543825278156215	0.0872714490422183	0	0.0101016755748443	-12.8721688554732	0.0556877488035003	18839.1134102479	0.005	0.01	0	 -10	0.01	0.05	full	rep1
139	1	3	0.00787763735680387	-18.1101022543997	0.00543508564869831	0.00787763735680387	-1.28155304177273	0.0575519895956955	18838.1415805327	0.005	0.01	0	 -10	0.01	0.05	reduced	rep1
68	1	3	0.0092846757777561	-10.5641115893605	0.0724825132220642	0.00559880921568197	-0.412115421772906	0	18675.6015045122	0.005	0.01	0	 -10	0.01	0.05	full	rep2
402	1	3	0.00748093810803914	-1.36323918885452	0.0453569873901863	0.00748093810803914	-13.0360853737725	0.0407400193284564	18675.375077983	0.005	0.01	0	 -10	0.01	0.05	reduced	rep2
101	1	3	0.00884321699063975	-12.2847716698265	0.0623327632637982	0.00665570859591455	-0.838466657169656	0	19421.9336159505	0.005	0.01	0	 -10	0.01	0.05	full	rep3
79	1	3	0.00776035057063619	-1.31536456732662	0.0151987353704744	0.00776035057063619	-14.1583887834753	0.0565493643867902	19421.4483031265	0.005	0.01	0	 -10	0.01	0.05	reduced	rep3
240	1	3	0.00511663385747537	-0.082005956206959	0	0.0103458519639188	-11.9081714827378	0.0555606080338704	18582.6716027946	0.005	0.01	0	 -10	0.01	0.05	full	rep4
22	1	3	0.00777144257573176	-16.0660889443705	0.00312764597206956	0.00777144257573176	-1.55480113934619	0.0618723496557788	18581.7292056993	0.005	0.01	0	 -10	0.01	0.05	reduced	rep4
181	1	3	0.0107052066313082	-10.7713710041447	0.0463812337516024	0.00450224878205772	0.493957302487575	0	18603.8232148546	0.005	0.01	0	 -10	0.01	0.05	full	rep5
9	1	3	0.00770627959253579	-1.42241950055983	0.0622051059408699	0.00770627959253579	-16.0064204948879	0	18602.4557081964	0.005	0.01	0	 -10	0.01	0.05	reduced	rep5
