run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
2244	1	3	0.0040833036693284	-1.455958972043	0.0568218870318918	0.00436256687042689	-7.03893745836551	0	0.00166323062982671	-41.9297963125413	0	2830027.53568438	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep1
429	1	3	0.00278186440779748	-23.8392742503133	0.0237419495476695	0.000434397280522689	4.71296367565112	0.0237419495476695	0.00677379003062303	-3.40814013964503	0.0237419495476695	2830023.8844784	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep1
738	1	3	0.00230513937795561	-30.9493727645286	0.0318207054618387	0.00704665565039516	-3.95536465305582	0.0243106033768584	0.000722273069866999	3.00232604495434	0	2845182.01993138	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep2
505	1	3	0.00220446714147237	-32.4554607447626	0.0239659739851947	0.000909507494605084	2.09324442357601	0.0239659739851947	0.00696903341290089	-4.15220238319692	0.0239659739851947	2845181.92221148	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep2
614	1	3	0.00230647452745451	-25.2888072823265	0	0.00318840543732233	-1.09532771051576	0.0717241611721499	0.00449130742813289	-5.24496322127962	0	2840730.93103499	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep3
572	1	3	0.00656926475101936	-3.18826198055456	0.0235477934467889	0.00038412436380806	5.06759431250456	0.0235477934467889	0.00300966959514271	-20.9259883442842	0.0235477934467889	2840730.84780469	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep3
1497	1	3	0.0059805788368483	-5.98166522851009	0.0191684861835626	0.00252229205327372	-0.268473058513943	0.03720925254251	0.00160280346091655	-42.295094796944	0.0259268913762921	2840560.97985127	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
1027	1	3	0.00619162742573899	-5.73999560395976	0.0247189270886679	0.00165599927213649	-40.1694142621987	0.0247189270886679	0.00224597730287021	0.0238864977370128	0.0247189270886679	2840560.99304988	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
2754	1	3	0.00193433181387168	-28.9538070433314	0.0250434697178764	0.00193129864484846	0.191490337321228	0.0734059514365889	0.00611578597130959	-5.06554652839358	0.0086058606479897	2842166.92288978	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep5
1293	1	3	0.00147342116656617	0.993328489104653	0.0243475530160032	0.00649614939756393	-4.78169794536671	0.0243475530160032	0.00200964114556663	-28.1254454516144	0.0243475530160032	2842166.88136964	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep5
3737	1	3	0.00655746983944993	-5.62258835762168	0.0347673808093369	0.00199612730420435	0.296819668189234	0.00419629316593695	0.00147333242181262	-43.4970680778042	0	2835113.08976643	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep6
255	1	3	0.00147785105540768	0.961823938645809	0.024633863636442	0.00172852330868217	-34.5168993685575	0.024633863636442	0.00677403922893893	-4.95894272400409	0.024633863636442	2835112.01966428	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep6
2445	1	3	0.00204655552077319	-28.5809144391787	0	0.00360055722091855	-1.23012861430994	0.0643762033047459	0.00434860567592798	-5.9494400168853	0	2835974.99667879	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
1758	1	3	0.000592005605171177	3.33891832628324	0.0241241239202008	0.00275501379090957	-23.0036291887216	0.0241241239202008	0.00662441677162021	-3.53442738721462	0.0241241239202008	2835973.8997447	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
3040	1	3	0.00113626884707009	1.37112105912607	0	0.00662153773309093	-4.283695915875	0.033800159720747	0.00227275305254778	-28.218248001339	0	2839958.07324496	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep8
1620	1	3	0.00688787263351524	-3.86142443106703	0.0231948021522403	0.000685659856268881	3.22337003946808	0.0231948021522403	0.00246498055246231	-27.1758755086162	0.0231948021522403	2839958.53371171	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep8
3076	1	3	0.00659632278058297	-4.28530267389555	0.0358786205074993	0.00219789569817535	-28.1094183462249	0	0.00118383717353944	1.13984480536222	0	2833792.48953002	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep9
1483	1	3	0.00248667904217801	-25.6965116871804	0.0245736246705473	0.000583345090283042	3.57805184034086	0.0245736246705473	0.00690141015762088	-3.68981630330696	0.0245736246705473	2833791.57452057	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep9
