run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
2244	1	3	0.0040833036693284	-1.455958972043	0.0568218870318918	0.00436256687042689	-7.03893745836551	0	0.00166323062982671	-41.9297963125413	0	2830027.53568438	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep1
1031	1	3	0.000246080600513693	1194.73921293216	0	0.00339373338841827	-17.9711990296913	0	0.00603203142900196	-2.74126063955729	0	2830019.6717168	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep1
738	1	3	0.00230513937795561	-30.9493727645286	0.0318207054618387	0.00704665565039516	-3.95536465305582	0.0243106033768584	0.000722273069866999	3.00232604495434	0	2845182.01993138	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep2
186	1	3	0.00605090313436907	-2.6955047384347	0	0.00336929830068526	-17.3683672166406	0	0.000238830061684747	4390.44517969641	0	2845162.41632806	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep2
614	1	3	0.00230647452745451	-25.2888072823265	0	0.00318840543732233	-1.09532771051576	0.0717241611721499	0.00449130742813289	-5.24496322127962	0	2840730.93103499	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep3
696	1	3	0.000237752244694176	2932.61472257486	0	0.00356436674987747	-16.7240951012721	0	0.00586488318148516	-2.60718787478518	0	2840725.49528145	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep3
1497	1	3	0.0059805788368483	-5.98166522851009	0.0191684861835626	0.00252229205327372	-0.268473058513943	0.03720925254251	0.00160280346091655	-42.295094796944	0.0259268913762921	2840560.97985127	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
1610	1	3	0.00564570207841028	-2.53198706184817	0	0.00373128502226428	-15.0564414498163	0	0.00023832204861796	3022.10934391513	0	2840540.76316517	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
2754	1	3	0.00193433181387168	-28.9538070433314	0.0250434697178764	0.00193129864484846	0.191490337321228	0.0734059514365889	0.00611578597130959	-5.06554652839358	0.0086058606479897	2842166.92288978	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep5
241	1	3	0.000237310540330612	4629.57712728668	0	0.00393331644819902	-13.9354779978412	0	0.00541173787947323	-2.40516257563828	0	2842153.61033953	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep5
3737	1	3	0.00655746983944993	-5.62258835762168	0.0347673808093369	0.00199612730420435	0.296819668189234	0.00419629316593695	0.00147333242181262	-43.4970680778042	0	2835113.08976643	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep6
1437	1	3	0.00556454655446677	-2.53014014047239	0	0.00372579316585561	-14.0072998827227	0	0.000241197188583738	3281.46304392497	0	2835095.21343132	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep6
2445	1	3	0.00204655552077319	-28.5809144391787	0	0.00360055722091855	-1.23012861430994	0.0643762033047459	0.00434860567592798	-5.9494400168853	0	2835974.99667879	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
1500	1	3	0.00356612335103412	-16.7275616780358	0	0.00583991953456532	-2.60156720154124	0	0.000242293999477545	2120.91764750313	0	2835967.8224616	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
3040	1	3	0.00113626884707009	1.37112105912607	0	0.00662153773309093	-4.283695915875	0.033800159720747	0.00227275305254778	-28.218248001339	0	2839958.07324496	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep8
202	1	3	0.000236397038199992	3791.7253512863	0	0.00367558543134659	-15.9906580417758	0	0.00574267309578859	-2.55629042771503	0	2839939.04315901	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep8
