run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
1173	1	3	0.00213701629784371	-23.9944582069907	0	0.00415586096145653	-5.64146749844673	0	0.00361492035383252	-1.29993132356826	0.0642821146798238	2841616.6259474	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep1
6918	1	3	0.00664298355959258	-3.20400113751676	0	0.000322704988362963	100	0	0.00272186645948048	-21.7963322624248	0	2841418.69306444	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep1
6499	1	3	0.00494904851469636	-6.06847790638689	0	0.00170409334541282	-33.7997815917059	0.0230485840488389	0.00331450247603091	-1.03315187330259	0.0631301525968194	2832733.13878898	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep2
5839	1	3	0.000325962215867221	100	0	0.00670034785966444	-3.24754507907013	0	0.00264368034969579	-22.8008042589801	0	2832471.39998603	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep2
7169	1	3	0.00192068658478046	-28.0698672407546	0	0.00468814066581175	-5.9008137753381	0	0.00333388941272851	-1.10519429392702	0.0689618721282177	2827225.93864713	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep3
8570	1	3	0.00285055883757723	-21.21585125926	0	0.00651053704658784	-3.19369256944865	0	0.000324241591628978	100	0	2827016.58206859	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep3
9743	1	3	0.00141048614804966	0.667698979719838	0	0.00257263137104429	-21.2671577800003	0	0.0059296320857418	-4.23199098662383	0.0389623931290612	2830987.41099645	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
8494	1	3	0.00297341713453554	-20.2645866957587	0	0.00640036944359787	-3.12762826197968	0	0.000321123911045117	100	0	2830741.6945473	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
932	1	3	0.00263225983436356	-23.8615556626947	0.0301061636793414	0.000786084184798172	2.51420204267476	0.0448882014665148	0.00658485573038664	-3.81398783185432	0.0204254523265681	2840721.70857794	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep5
4893	1	3	0.000327559030458073	100	0	0.00653076194922386	-3.16681194621728	0	0.0028940734310265	-22.0271978646715	0	2840477.5626789	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep5
4014	1	3	0.00203948982492665	-24.8284659960583	0	0.00282850958646944	-0.897919148696515	0.0817824225494807	0.00502059321150963	-5.17459166831949	0	2836957.99083706	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep6
6312	1	3	0.00661484629477662	-3.22746356447322	0	0.000325927440114018	100	0	0.00270740477881303	-20.8939460913927	0	2836755.99104143	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep6
1371	1	3	0.00107880355092199	-56.3021845638546	0	0.00410429779532348	-9.30279821225514	0.00475810041284301	0.0048694887867981	-1.72065447375791	0.0453845239952657	2829234.87633573	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
3154	1	3	0.000325933433028825	100	0	0.00277365795005641	-22.4223260403652	0	0.00658785805698332	-3.19196271294265	0	2829036.13197196	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
2241	1	3	0.00220333973144313	-25.0330692144316	0	0.00165597502974242	0.405819421741577	0.0238828879513174	0.00606206781802576	-4.64445963761144	0.0321905248552326	2827342.62242243	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep8
1231	1	3	0.000327353323121626	100	0	0.00649862867629598	-3.18823920923323	0	0.00284816489168908	-21.0746808322505	0	2827149.21563801	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep8
9108	1	3	0.00183787307991716	-34.986634539513	0	0.00389784071416219	-1.38022719222705	0.0595910722435352	0.00431044011835308	-6.42744037522635	0	2834108.23147398	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep9
7717	1	3	0.00272194257090263	-24.7190197487413	0	0.0067169858609302	-3.24007660101602	0	0.000323712275343507	100	0	2833873.05635422	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep9
8912	1	3	0.00151219283211134	-35.9926411880109	0	0.00426054015317457	-1.50141115603058	0.0550264524893935	0.00422300212668412	-7.38949891554651	0	2834414.57265996	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep10
955	1	3	0.000325485872780108	100	0	0.00656583354339985	-3.19310488612753	0	0.00280680967169455	-21.7281575587887	0	2834176.52755438	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep10
7496	1	3	0.00419596873105425	-8.03150799330472	0	0.00451002293854125	-1.63403256619991	0.0522197321653758	0.00125968300635885	-39.4228542557114	0	2831244.99002168	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep11
2255	1	3	0.00661262382379017	-3.24283560279199	0	0.00272863169177911	-21.3782781651379	0	0.000324531363951925	100	0	2831022.18177442	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep11
233	1	3	0.00178255603198371	-38.6199794092625	0	0.00485585486405786	-6.21707649129103	0	0.00348085634088201	-1.19607925423651	0.0674245876417117	2837918.00556746	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep12
912	1	3	0.00675739337202663	-3.31635563861957	0	0.00271595760929201	-24.8921593337955	0	0.000330113245463671	100	0	2837690.33675317	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep12
2535	1	3	0.00518237271328909	-4.53565272970474	0.00505036020831594	0.00232330719806062	-0.624513305248306	0.0869030637344105	0.00247197910989401	-24.5235125515762	0.00484380388711678	2834865.4659201	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep13
7442	1	3	0.00278026588026711	-23.5259680514308	0	0.00664060562571651	-3.22439832452059	0	0.000328785655338892	100	0	2834630.74358808	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep13
1445	1	3	0.00142672087605669	-39.2415958823914	0	0.00426408758672712	-7.76428570901223	0	0.00437909641757103	-1.55229362903938	0.0544842886429294	2845167.77878541	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep14
8048	1	3	0.00658472981033919	-3.22113629058849	0	0.00283667591141651	-21.7885837886351	0	0.000330324365701793	100	0	2844921.56824387	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep14
7819	1	3	0.00397870981859609	-1.44376221005879	0.0583955982115509	0.00152489617011493	-42.0199584734405	0	0.00456438073578211	-6.90853235105807	0	2836210.39538284	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep15
658	1	3	0.00678406093397591	-3.32271358209277	0	0.00263149391812417	-23.8193231733558	0	0.000323551020798541	100	0	2835982.13742816	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep15
