run	imp	exit_code	ins_theta	ins_shape	ins_scale	ins_e	del_theta	del_shape	del_scale	del_e	lnL	sim_ins_theta	sim_del_theta	sim_ins_shape	sim_del_shape	sim_ins_scale	sim_del_scale	sim_ins_e	sim_del_e	model	rep
197	1	3	0.000538702001582801	0.422298524290581	16.5795003627782	0.078669333734709	0.000999185839526975	0.291325806164104	38.3421115159797	0.0466149881710467	41892.5826303829	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep1
7	1	3	0.000488640113287588	0.47577464454202	10.4262224043709	0.0731092406825155	0.00102028209730596	0.204863888153293	87.760877986129	0.0425649470060452	41483.7489734911	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep2
184	1	3	0.000674262821148865	0.192833753203391	320.701794193225	0.0701002380474668	0.000926210711460387	0.310271836557322	20.5151184485895	0.0397920239137277	42201.9383958728	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep3
193	1	3	0.000466118761574793	1.39411796039655	2.08118313439339	0.0838465607471884	0.000930446839325918	0.35365990133127	17.1435770710311	0.0385530447085541	41296.9159169526	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep4
56	1	3	0.000502123199777963	0.640818674998944	7.50212707981354	0.0855420133475971	0.00117389446335272	0.223531587127829	148.865382742007	0.0449039322528857	42460.4305062678	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep5
15	1	3	0.000488039229737467	0.36597274541181	14.477502948508	0.0825534741774494	0.00109612879187697	0.206898139995398	152.755674419134	0.0373126481284897	41177.6579596244	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep6
91	1	3	0.000463915532220378	1.01928881116938	3.00146794021391	0.0874464824108752	0.000976828277775064	0.257432280315421	38.196340017983	0.0456944609793882	41491.7656114066	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep7
40	1	3	0.000456528659866499	0.505897696427288	6.33826190165457	0.0874241916022091	0.00108855088073383	0.135035052092779	476.205839339192	0.0396206851239011	40883.4243021002	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep8
131	1	3	0.00062224296141959	0.128269850364844	698.313160023241	0.0676449365082188	0.000945254980982108	0.309162853370963	26.5598915031367	0.0367939920275268	41186.0104299258	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep9
156	1	3	0.000528025406691975	0.346820225481322	24.8241767917093	0.0707211962108453	0.000940008124492723	0.284438236600235	26.3233283620721	0.0365843221542445	41697.3997714505	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep10
97	1	3	0.000660335782680118	0.166250278442808	405.868298324587	0.0842471147183727	0.0011506978640635	0.192460575315976	245.360925895272	0.0407501560952313	42076.9315872549	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep11
154	1	3	0.000495421121165307	1.68992492784581	1.61409803461517	0.0892687301182627	0.000975903773634098	0.255649482897358	39.997899631047	0.0435188940597312	42526.0575749472	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep12
83	1	3	0.000628209528174058	0.160744931449613	448.515945533178	0.0702354191565952	0.00115291471694842	0.220226744817446	154.351602838763	0.0400551093299358	41891.2918702912	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep13
137	1	3	0.000566090236189569	0.505100223216852	16.5655561362653	0.0804644414675162	0.00106900980516445	0.213229329895435	103.281971954058	0.0430448372331755	42462.4250169927	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep14
