run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
403	1	3	0.010036967811029	-10.3492230839154	0.0558389289989279	0.0050034127821602	0.124169046310623	0	283989.872598294	0.005	0.01	0	 -10	0.01	0.05	full	rep1
424	1	3	0.012979671686646	-3.0090744093442	0.0507182292797524	0	0	0	283718.704462512	0.005	0.01	0	 -10	0.01	0.05	full	rep1
331	1	3	0.00874662752059921	-10.6841233058371	0.0250513424836202	0.00609759519332863	-0.710846467845041	0.052166734647513	282813.417650919	0.005	0.01	0	 -10	0.01	0.05	full	rep2
280	1	3	0.0129891651860039	-3.04543767503392	0.0519437998925948	0	0	0	282584.990973589	0.005	0.01	0	 -10	0.01	0.05	full	rep2
352	1	3	0.00509088491028097	-0.016016555294914	0.00318522772309566	0.00995864345428358	-10.5767902962077	0.0535192923622882	282141.498751888	0.005	0.01	0	 -10	0.01	0.05	full	rep3
378	1	3	0.0129638805206035	-3.06489613217346	0.0496168475827123	0	0	0	281870.992531613	0.005	0.01	0	 -10	0.01	0.05	full	rep3
143	1	3	0.00397077333260901	0.55398097300662	0	0.0110871998121734	-8.61519857594845	0.0478439952182553	285926.816704084	0.005	0.01	0	 -10	0.01	0.05	full	rep4
141	1	3	0.0133452320355131	-3.2534092417926	0.0505983048396286	0	0	0	285676.062183223	0.005	0.01	0	 -10	0.01	0.05	full	rep4
217	1	3	0.00534374006134354	-0.356253078056638	0.0385724905339039	0.00935816954249613	-9.67538102610114	0.0319198451066478	281554.193750025	0.005	0.01	0	 -10	0.01	0.05	full	rep5
35	1	3	0.0129616389220417	-3.07421240804402	0.0493840387907048	0	0	0	281328.542444195	0.005	0.01	0	 -10	0.01	0.05	full	rep5
154	1	3	0.0103818341351392	-9.93850563174507	0.0516958318534701	0.00459680254662437	0.350146169398748	0.0026907787410822	281899.172877287	0.005	0.01	0	 -10	0.01	0.05	full	rep6
471	1	3	0.0129557327366448	-3.06038199746603	0.0521709775374869	0	0	0	281609.690675639	0.005	0.01	0	 -10	0.01	0.05	full	rep6
428	1	3	0.00455011328072022	0.162484608713674	0	0.0102254050959435	-9.11910112220912	0.053564909844899	281745.453640858	0.005	0.01	0	 -10	0.01	0.05	full	rep7
289	1	3	0.0130485079310615	-3.14196677680071	0.0501622469373608	0	0	0	281520.689459617	0.005	0.01	0	 -10	0.01	0.05	full	rep7
403	1	3	0.00396687786433047	0.800949128263348	0	0.0110220745598681	-9.06936048456815	0.0444876580647053	283419.659894592	0.005	0.01	0	 -10	0.01	0.05	full	rep8
409	1	3	0.0130820427656996	-3.12355819087161	0.0504531942835134	0	0	0	283110.237003764	0.005	0.01	0	 -10	0.01	0.05	full	rep8
310	1	3	0.00501009290111392	-0.0115331002148648	0.0142255401781752	0.0102191962936765	-9.94190789606435	0.048538601025464	287944.01437858	0.005	0.01	0	 -10	0.01	0.05	full	rep9
284	1	3	0.0132707454578864	-3.11851234506573	0.0515291579731396	0	0	0	287685.155260925	0.005	0.01	0	 -10	0.01	0.05	full	rep9
351	1	3	0.00519533909593626	-0.109536889734244	0	0.00992114093603142	-10.164267374082	0.0606961618457366	286090.67757256	0.005	0.01	0	 -10	0.01	0.05	full	rep10
327	1	3	0.0131591103468442	-3.08263299370352	0.0509700475331026	0	0	0	285853.020344184	0.005	0.01	0	 -10	0.01	0.05	full	rep10
470	1	3	0.00526508931376506	-0.160151931217973	0.0500983902278184	0.0096751621136717	-10.1890565325252	0.0234779019556993	283492.662788929	0.005	0.01	0	 -10	0.01	0.05	full	rep11
414	1	3	0.012958046973176	-3.00727929359721	0.0513222111425057	0	0	0	283199.657328884	0.005	0.01	0	 -10	0.01	0.05	full	rep11
351	1	3	0.00562924627938912	-0.424588107169909	0.0423442856880535	0.00925175329085516	-10.1869257185056	0.0267234526763562	284488.987446713	0.005	0.01	0	 -10	0.01	0.05	full	rep12
92	1	3	0.0130126262160758	-3.02437196044045	0.0484248551616399	0	0	0	284241.277304908	0.005	0.01	0	 -10	0.01	0.05	full	rep12
402	1	3	0.0084184211432764	-11.1362771699241	0.00355977737698606	0.00651027281397443	-1.00276165568936	0.0690167516076137	282669.075457991	0.005	0.01	0	 -10	0.01	0.05	full	rep13
245	1	3	0.0130393394167331	-3.10515638765534	0.0501284897672628	0	0	0	282423.270038962	0.005	0.01	0	 -10	0.01	0.05	full	rep13
349	1	3	0.00634762256279001	-0.936433048236522	0.0724294750899597	0.00857281435574518	-10.4631522119433	0.00584379551566762	284956.65622788	0.005	0.01	0	 -10	0.01	0.05	full	rep14
