run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
403	1	3	0.010036967811029	-10.3492230839154	0.0558389289989279	0.0050034127821602	0.124169046310623	0	283989.872598294	0.005	0.01	0	 -10	0.01	0.05	full	rep1
185	1	3	0.00929744801820681	-11.1261049817442	0.0356401050094123	0.00578284295196314	-0.426839088523508	0.0356401050094123	283989.361304535	0.005	0.01	0	 -10	0.01	0.05	full	rep1
331	1	3	0.00874662752059921	-10.6841233058371	0.0250513424836202	0.00609759519332863	-0.710846467845041	0.052166734647513	282813.417650919	0.005	0.01	0	 -10	0.01	0.05	full	rep2
289	1	3	0.00557809310866819	-0.407109514561185	0.0371293335136833	0.00924077506694458	-10.1583629360783	0.0371293335136833	282813.290311429	0.005	0.01	0	 -10	0.01	0.05	full	rep2
352	1	3	0.00509088491028097	-0.016016555294914	0.00318522772309566	0.00995864345428358	-10.5767902962077	0.0535192923622882	282141.498751888	0.005	0.01	0	 -10	0.01	0.05	full	rep3
118	1	3	0.00586317257147838	-0.538450927609381	0.0349833780084966	0.00923473569689475	-11.4114468462985	0.0349833780084966	282141.166437969	0.005	0.01	0	 -10	0.01	0.05	full	rep3
143	1	3	0.00397077333260901	0.55398097300662	0	0.0110871998121734	-8.61519857594845	0.0478439952182553	285926.816704084	0.005	0.01	0	 -10	0.01	0.05	full	rep4
413	1	3	0.00445582817813728	0.0890229816366559	0.0344687395931621	0.0106139575996893	-8.8990702049182	0.0344687395931621	285926.575000076	0.005	0.01	0	 -10	0.01	0.05	full	rep4
217	1	3	0.00534374006134354	-0.356253078056638	0.0385724905339039	0.00935816954249613	-9.67538102610114	0.0319198451066478	281554.193750025	0.005	0.01	0	 -10	0.01	0.05	full	rep5
99	1	3	0.00946670123270825	-9.57964791156195	0.0345094508627058	0.00523048912842967	-0.281455776725368	0.0345094508627058	281554.189238058	0.005	0.01	0	 -10	0.01	0.05	full	rep5
