run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
403	1	3	0.010036967811029	-10.3492230839154	0.0558389289989279	0.0050034127821602	0.124169046310623	0	283989.872598294	0.005	0.01	0	 -10	0.01	0.05	full	rep1
75	1	3	0.00759201252860352	-1.32251852834062	0.0635788707435646	0.00759201252860352	-13.9038583575906	0.00309089617711085	283985.1567834	0.005	0.01	0	 -10	0.01	0.05	full	rep1
331	1	3	0.00874662752059921	-10.6841233058371	0.0250513424836202	0.00609759519332863	-0.710846467845041	0.052166734647513	282813.417650919	0.005	0.01	0	 -10	0.01	0.05	full	rep2
406	1	3	0.00746296630337082	-12.6128485664497	0	0.00746296630337082	-1.34289757042024	0.0689676523519153	282812.386518348	0.005	0.01	0	 -10	0.01	0.05	full	rep2
352	1	3	0.00509088491028097	-0.016016555294914	0.00318522772309566	0.00995864345428358	-10.5767902962077	0.0535192923622882	282141.498751888	0.005	0.01	0	 -10	0.01	0.05	full	rep3
309	1	3	0.00760691161061799	-1.38697722757616	0.0610840622493164	0.00760691161061799	-14.2467783199535	0.00433599808487367	282137.524128657	0.005	0.01	0	 -10	0.01	0.05	full	rep3
143	1	3	0.00397077333260901	0.55398097300662	0	0.0110871998121734	-8.61519857594845	0.0478439952182553	285926.816704084	0.005	0.01	0	 -10	0.01	0.05	full	rep4
15	1	3	0.00762456074247812	-1.5662252636083	0.0681788731927459	0.00762456074247812	-12.500038752537	0	285918.987169963	0.005	0.01	0	 -10	0.01	0.05	full	rep4
217	1	3	0.00534374006134354	-0.356253078056638	0.0385724905339039	0.00935816954249613	-9.67538102610114	0.0319198451066478	281554.193750025	0.005	0.01	0	 -10	0.01	0.05	full	rep5
170	1	3	0.00741381656957713	-1.37392771769977	0.0655511641420473	0.00741381656957713	-12.3130742512246	0	281552.174559182	0.005	0.01	0	 -10	0.01	0.05	full	rep5
154	1	3	0.0103818341351392	-9.93850563174507	0.0516958318534701	0.00459680254662437	0.350146169398748	0.0026907787410822	281899.172877287	0.005	0.01	0	 -10	0.01	0.05	full	rep6
264	1	3	0.00759196091724332	-14.1250447279751	0	0.00759196091724332	-1.38143946255624	0.0676260368823993	281893.656481465	0.005	0.01	0	 -10	0.01	0.05	full	rep6
428	1	3	0.00455011328072022	0.162484608713674	0	0.0102254050959435	-9.11910112220912	0.053564909844899	281745.453640858	0.005	0.01	0	 -10	0.01	0.05	full	rep7
134	1	3	0.00744336542563327	-1.44895903262579	0.0666407381766367	0.00744336542563327	-12.2012900151745	0.00143548442529913	281739.935017006	0.005	0.01	0	 -10	0.01	0.05	full	rep7
403	1	3	0.00396687786433047	0.800949128263348	0	0.0110220745598681	-9.06936048456815	0.0444876580647053	283419.659894592	0.005	0.01	0	 -10	0.01	0.05	full	rep8
112	1	3	0.00761569709228744	-13.7343238813148	0	0.00761569709228744	-1.43835547614681	0.0654623627560861	283407.483945078	0.005	0.01	0	 -10	0.01	0.05	full	rep8
