run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
424	1	3	0.00883421021536075	-40.2998259727508	0.0043672165675079	0.00817501248990209	-6.52085698794454	0.044756694221505	12737.0883137618	0.005	0.01	 -5	 -20	0.05	0.01	full	rep1
37	1	3	0.0128850983192976	-8.57987587300703	0.0346449208656072	0	0	0	12716.2694803179	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep1
39	1	3	0.00116499971253801	-1.769095626833	0.0754003610970097	0.0132806965261272	-12.6824690711582	0.0165831141088346	12830.0611659385	0.005	0.01	 -5	 -20	0.05	0.01	full	rep2
429	1	3	0.0128771513840466	-8.47095881816857	0.0295688156974927	0	0	0	12805.992709669	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep2
256	1	3	0.00378133733758456	-4.15754998467158	0.00690640962979709	0.0111354041086228	-18.1981417358166	0.0384411715951493	12487.7718575407	0.005	0.01	 -5	 -20	0.05	0.01	full	rep3
363	1	3	0.0124531808622647	-8.23819221640119	0.0310403649835944	0	0	0	12464.62698124	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep3
457	1	3	0.00305824719082027	-4.03308848185125	0.0760163472261448	0.0118643965704193	-16.0008395359773	0.00903106229560976	12711.9405758696	0.005	0.01	 -5	 -20	0.05	0.01	full	rep4
145	1	3	0.0128617809103391	-8.60127166704398	0.0337629297819138	0	0	0	12685.4528965374	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep4
346	1	3	0.00870722394046929	-24.9683471979196	0.0671443724702468	0.00645237996319468	-5.47241642267604	0	12534.383212347	0.005	0.01	 -5	 -20	0.05	0.01	full	rep5
187	1	3	0.0123562757018685	-7.99344196536874	0.0288288058807549	0	0	0	12514.7016687278	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep5
199	1	3	0.0113550644430933	-17.6404297500103	0.029873923715392	0.00326119976258177	-3.6802974052001	0.0232737992459635	12177.991458991	0.005	0.01	 -5	 -20	0.05	0.01	full	rep6
6	1	3	0.0120852940624198	-8.0295442739308	0.0325325845211034	0	0	0	12150.3813383293	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep6
136	1	3	0.00999107954487125	-13.2078490454109	0.0179277042350631	0.00337338635310508	-4.57730994958391	0.0506599396557024	12167.5147106551	0.005	0.01	 -5	 -20	0.05	0.01	full	rep7
310	1	3	0.0122102819322782	-8.17446560064703	0.0314722375740227	0	0	0	12157.8605631912	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep7
