run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
424	1	3	0.00883421021536075	-40.2998259727508	0.0043672165675079	0.00817501248990209	-6.52085698794454	0.044756694221505	12737.0883137618	0.005	0.01	 -5	 -20	0.05	0.01	full	rep1
24	1	3	0.00846821287084105	-41.9137702487667	0.00165159276686872	0.00846821287084105	-6.6587585223044	0.0448935881155936	12737.0368463404	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep1
39	1	3	0.00116499971253801	-1.769095626833	0.0754003610970097	0.0132806965261272	-12.6824690711582	0.0165831141088346	12830.0611659385	0.005	0.01	 -5	 -20	0.05	0.01	full	rep2
302	1	3	0.00736251454750931	-21.5051388957181	0	0.00736251454750931	-6.36939574150126	0.0440265711215644	12824.9784797362	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep2
256	1	3	0.00378133733758456	-4.15754998467158	0.00690640962979709	0.0111354041086228	-18.1981417358166	0.0384411715951493	12487.7718575407	0.005	0.01	 -5	 -20	0.05	0.01	full	rep3
184	1	3	0.00757481826631363	-28.6157593051112	0.02950743189979	0.00757481826631363	-6.17780356886004	0.0287875375669017	12485.3595258216	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep3
457	1	3	0.00305824719082027	-4.03308848185125	0.0760163472261448	0.0118643965704193	-16.0008395359773	0.00903106229560976	12711.9405758696	0.005	0.01	 -5	 -20	0.05	0.01	full	rep4
251	1	3	0.00765668977175935	-6.46664179841529	0.0479313566798334	0.00765668977175935	-26.5452458918413	0	12708.5375679332	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep4
346	1	3	0.00870722394046929	-24.9683471979196	0.0671443724702468	0.00645237996319468	-5.47241642267604	0	12534.383212347	0.005	0.01	 -5	 -20	0.05	0.01	full	rep5
450	1	3	0.00755861987326796	-5.97322031307257	0.00558887883949417	0.00755861987326796	-28.8738859053749	0.07373064858475	12533.8358554417	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep5
199	1	3	0.0113550644430933	-17.6404297500103	0.029873923715392	0.00326119976258177	-3.6802974052001	0.0232737992459635	12177.991458991	0.005	0.01	 -5	 -20	0.05	0.01	full	rep6
485	1	3	0.00725713477180346	-6.02574607225653	0.0431961259363575	0.00725713477180346	-26.1865275069365	0.00583070132443928	12173.9581476122	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep6
136	1	3	0.00999107954487125	-13.2078490454109	0.0179277042350631	0.00337338635310508	-4.57730994958391	0.0506599396557024	12167.5147106551	0.005	0.01	 -5	 -20	0.05	0.01	full	rep7
379	1	3	0.00680147282966224	-18.3514933587914	0	0.00680147282966224	-6.15249983986019	0.0483549171614904	12167.2241381193	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep7
196	1	3	0.0101924299722476	-19.726934807393	0	0.0048564627877932	-4.88466617718133	0.0543739708142273	12640.7904320195	0.005	0.01	 -5	 -20	0.05	0.01	full	rep8
182	1	3	0.00772631155896914	-30.0772013794112	0	0.00772631155896914	-6.20241317351424	0.0390298878309593	12638.9188551338	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep8
465	1	3	0.00607793625406025	-5.43800076533614	0.0518134403954323	0.00883828224991001	-21.5947887654524	0	12635.0842575451	0.005	0.01	 -5	 -20	0.05	0.01	full	rep9
140	1	3	0.00756564947912	-27.3776151052914	0	0.00756564947912	-6.05716299645093	0.0439990426772754	12634.5826911402	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep9
322	1	3	0.00321661573007637	-4.15973472940466	0.0370933451413602	0.0112384242022775	-14.5643728716019	0.0267876889891769	12794.4044166472	0.005	0.01	 -5	 -20	0.05	0.01	full	rep10
493	1	3	0.00736545053548198	-6.24526487721104	0.0448247368737043	0.00736545053548198	-21.85743381212	0.00854402819320258	12793.2407395373	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep10
103	1	3	0.000796139476142694	-0.474102481499922	0	0.0133117299386256	-13.7017104627075	0.0253891574890652	11907.9189045236	0.005	0.01	 -5	 -20	0.05	0.01	full	rep11
212	1	3	0.0072150998984429	-25.4759468499386	0	0.0072150998984429	-6.63491313508059	0.0456219984700818	11900.1675120598	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep11
235	1	3	0.00129901860532257	-1.97112920594348	0.0253022876710154	0.0132583977329016	-13.8097408746623	0.0236899260019499	12533.7531206968	0.005	0.01	 -5	 -20	0.05	0.01	full	rep12
215	1	3	0.00759904639485199	-26.9584533329425	0	0.00759904639485199	-6.57796971422034	0.0430076428999305	12529.3865069005	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep12
409	1	3	0.00348279178743962	-4.02828605946584	0.0462471210116186	0.010528057723761	-15.0392451807695	0.0205964626556112	12403.1691316771	0.005	0.01	 -5	 -20	0.05	0.01	full	rep13
74	1	3	0.0070789272178823	-21.6647608824547	0	0.0070789272178823	-5.87531697164797	0.0490654906691256	12401.7478319247	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep13
306	1	3	0.0134038592537473	-16.0824454777353	0.0298451356898573	0.0021138797250837	-2.44753375831728	0.0140889411860923	13026.2017168217	0.005	0.01	 -5	 -20	0.05	0.01	full	rep14
1	1	3	0.00788352768726479	-6.20593767305522	0.0465402320578566	0.00788352768726479	-29.3291756955412	0	13019.1866800719	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep14
224	1	3	0.0102362443981258	-14.5579532959217	0	0.00372594205330806	-4.16177961685089	0.0739853996146071	12628.3762332784	0.005	0.01	 -5	 -20	0.05	0.01	full	rep15
236	1	3	0.0071905739026995	-22.534698418044	0	0.0071905739026995	-5.73121662833205	0.0440259329877189	12626.7474309034	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep15
