run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
424	1	3	0.00883421021536075	-40.2998259727508	0.0043672165675079	0.00817501248990209	-6.52085698794454	0.044756694221505	12737.0883137618	0.005	0.01	 -5	 -20	0.05	0.01	full	rep1
144	1	3	0.000244314599964782	4935.83787574782	0	0.0130561523716265	-10.4644963548866	0	12719.9278599564	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep1
39	1	3	0.00116499971253801	-1.769095626833	0.0754003610970097	0.0132806965261272	-12.6824690711582	0.0165831141088346	12830.0611659385	0.005	0.01	 -5	 -20	0.05	0.01	full	rep2
144	1	3	0.000231297527057318	4935.837868147	0	0.0134566811318677	-10.863853626464	0	12827.1835925327	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep2
256	1	3	0.00378133733758456	-4.15754998467158	0.00690640962979709	0.0111354041086228	-18.1981417358166	0.0384411715951493	12487.7718575407	0.005	0.01	 -5	 -20	0.05	0.01	full	rep3
301	1	3	0.00023281697535687	5000	0	0.0127864705951475	-10.2666003911715	0	12473.9833396205	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep3
457	1	3	0.00305824719082027	-4.03308848185125	0.0760163472261448	0.0118643965704193	-16.0008395359773	0.00903106229560976	12711.9405758696	0.005	0.01	 -5	 -20	0.05	0.01	full	rep4
16	1	3	0.0134131968798201	-11.1477170922071	0	0.000250504761886684	5000	0	12707.1383916459	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep4
346	1	3	0.00870722394046929	-24.9683471979196	0.0671443724702468	0.00645237996319468	-5.47241642267604	0	12534.383212347	0.005	0.01	 -5	 -20	0.05	0.01	full	rep5
469	1	3	0.0124200787270034	-9.41647561712979	0	0.000213503394015159	5000	0	12510.4677928591	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep5
199	1	3	0.0113550644430933	-17.6404297500103	0.029873923715392	0.00326119976258177	-3.6802974052001	0.0232737992459635	12177.991458991	0.005	0.01	 -5	 -20	0.05	0.01	full	rep6
458	1	3	0.00024952339357805	4993.6866274991	0	0.0125077926827227	-10.3344000846005	0	12164.5220514451	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep6
136	1	3	0.00999107954487125	-13.2078490454109	0.0179277042350631	0.00337338635310508	-4.57730994958391	0.0506599396557024	12167.5147106551	0.005	0.01	 -5	 -20	0.05	0.01	full	rep7
496	1	3	0.0123674102655631	-9.84516290470838	0	0.000218930194641202	5000	0	12162.8489144855	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep7
196	1	3	0.0101924299722476	-19.726934807393	0	0.0048564627877932	-4.88466617718133	0.0543739708142273	12640.7904320195	0.005	0.01	 -5	 -20	0.05	0.01	full	rep8
