run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
491	1	3	0.010246298647195	-19.1572831550083	0.00752473045137259	0.00476099182328949	-4.89193535292575	0.0552481792556958	186877.427558039	0.005	0.01	 -5	 -20	0.05	0.01	full	rep1
312	1	3	0.0117505732435985	-15.9861281595853	0.0273142364076549	0.00299491185356977	-3.66016571829382	0.0273142364076549	186870.728805957	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep1
471	1	3	0.0100429204938489	-20.9733089591938	0.00880542127941094	0.0051297731883142	-5.10677261190114	0.046889923400427	185307.177318024	0.005	0.01	 -5	 -20	0.05	0.01	full	rep2
214	1	3	0.0111181722961595	-18.0952921217121	0.0261072720122389	0.00383287039969355	-4.29527091713663	0.0261072720122389	185301.747286162	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep2
326	1	3	0.0101162930254056	-20.3781508052821	0.0100931182376277	0.0049091934956468	-4.92266401521436	0.0458833109926681	184646.031580581	0.005	0.01	 -5	 -20	0.05	0.01	full	rep3
243	1	3	0.0111852250166129	-17.5632492738049	0.0256833859546632	0.0036107974158092	-4.08305633331318	0.0256833859546632	184641.43896459	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep3
71	1	3	0.00461264893469378	-4.87539493478876	0.0566824937180359	0.0103132170135309	-18.7860233055639	0.00593996230114136	186000.372888796	0.005	0.01	 -5	 -20	0.05	0.01	full	rep4
408	1	3	0.00286809927805196	-3.60569694150966	0.0264370101658595	0.0118257465726496	-15.8389734444874	0.0264370101658595	185993.026533821	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep4
455	1	3	0.0101871754366025	-19.6873974020014	0.00456309118571432	0.00491488673901268	-5.03541569466541	0.0553169235207789	186782.892625404	0.005	0.01	 -5	 -20	0.05	0.01	full	rep5
448	1	3	0.0117151592382529	-16.3993624549682	0.0263334935471982	0.00312783800248007	-3.8158952224792	0.0263334935471982	186774.770605395	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep5
82	1	3	0.00994655706724552	-21.6618763764811	0.015042620555946	0.00516625503033596	-4.96377627339037	0.0398848424166183	184018.602694858	0.005	0.01	 -5	 -20	0.05	0.01	full	rep6
238	1	3	0.00445154944596433	-4.52897013403421	0.0266349239908623	0.0105321912460864	-19.8484070626651	0.0266349239908623	184015.987294433	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep6
453	1	3	0.0107850803409807	-18.2767734082009	0.0243450477872579	0.0041096798159123	-4.34752293800145	0.0384671182552448	185844.394709103	0.005	0.01	 -5	 -20	0.05	0.01	full	rep7
289	1	3	0.00370354949310856	-4.06385941174446	0.0296161730456325	0.0111324975783039	-17.5201362010137	0.0296161730456325	185843.898021799	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep7
129	1	3	0.0103849649816663	-19.0077795426805	0.0168239728378732	0.00462225858559466	-4.86652376854243	0.0419079822364685	186368.83526061	0.005	0.01	 -5	 -20	0.05	0.01	full	rep8
320	1	3	0.0110926569988008	-17.4986408563494	0.0271310752121658	0.00380532722815506	-4.33388667896306	0.0271310752121658	186366.776141899	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep8
240	1	3	0.00939457763890434	-22.4333187976667	0.00818550194904827	0.0057634593052611	-5.28473193490767	0.0441158251211326	185929.94753762	0.005	0.01	 -5	 -20	0.05	0.01	full	rep9
226	1	3	0.0044507681658178	-4.56033144389904	0.0264956981128924	0.0104389169934822	-18.89560571203	0.0264956981128924	185924.620497603	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep9
348	1	3	0.0111288454285454	-16.5928206291875	0.0138094979261139	0.00357293437327273	-4.11602977485415	0.0580596010490472	186450.766842767	0.005	0.01	 -5	 -20	0.05	0.01	full	rep10
405	1	3	0.00234814049061315	-3.00629246392843	0.0278307810145405	0.0122087642698956	-14.8504302664491	0.0278307810145405	186447.531731979	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep10
174	1	3	0.0101680675467755	-22.4196276429176	0.00354461386463772	0.00550224483350133	-5.2675445031783	0.0541135577478863	188856.589282513	0.005	0.01	 -5	 -20	0.05	0.01	full	rep11
343	1	3	0.00372006237511833	-4.1673939885669	0.0275687783677045	0.0115988130015237	-18.1786358930247	0.0275687783677045	188845.692228722	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep11
301	1	3	0.0103294823149857	-18.3616323126849	0.0113180681284836	0.0045000580611312	-4.84944957274114	0.0497028226019386	185497.764640985	0.005	0.01	 -5	 -20	0.05	0.01	full	rep12
38	1	3	0.00324334613968269	-3.97505065090228	0.0267117603215499	0.011434339190161	-16.2759673550526	0.0267117603215499	185493.541072374	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep12
201	1	3	0.00458391724099326	-4.83447267649891	0.0646222414509747	0.00999365312074787	-18.0809071702395	0	184308.594629045	0.005	0.01	 -5	 -20	0.05	0.01	full	rep13
304	1	3	0.00214987798845646	-2.89039529202011	0.0259288431652528	0.0120991407190262	-14.2475219985093	0.0259288431652528	184298.392816806	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep13
301	1	3	0.0106111859742271	-19.1308194314715	0.0142592361801167	0.00447767805576763	-4.61254273593402	0.0481473323095559	187028.944821192	0.005	0.01	 -5	 -20	0.05	0.01	full	rep14
416	1	3	0.00347288607457959	-3.90954349427963	0.0277478236865337	0.0114732958183278	-17.2571729050094	0.0277478236865337	187025.575095592	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep14
394	1	3	0.00961204564082111	-20.2457963314015	0	0.00543491686062292	-5.33181788882587	0.0549167347133494	187175.976027611	0.005	0.01	 -5	 -20	0.05	0.01	full	rep15
107	1	3	0.0115092214941023	-15.9458325531835	0.0257270317969594	0.00318992319181573	-3.92089003786689	0.0257270317969594	187162.003905787	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep15
96	1	3	0.00473421736715731	-4.78241375058292	0.0653664938297434	0.0103081913961032	-19.9869521422576	0	185009.136563933	0.005	0.01	 -5	 -20	0.05	0.01	full	rep16
156	1	3	0.00257256763614868	-3.11743576509781	0.0270225834793799	0.0121005954621909	-15.839543104729	0.0270225834793799	184991.626983963	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep16
445	1	3	0.00437749393925656	-4.65363025595551	0.0525608746422917	0.0105795725731481	-18.9521296817374	0.0115972865137513	184977.121359118	0.005	0.01	 -5	 -20	0.05	0.01	full	rep17
118	1	3	0.00306159188886928	-3.68962240033065	0.027579791487201	0.0116982625158442	-16.546811987661	0.027579791487201	184972.654322472	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep17
9	1	3	0.00593146726439288	-5.47292639980413	0.0463014414464252	0.00935606435195071	-22.9754883385089	0.00739114132935407	186081.854758688	0.005	0.01	 -5	 -20	0.05	0.01	full	rep18
280	1	3	0.0103925981054939	-19.5463654400193	0.0276425429586615	0.00465470108302719	-4.76725011548443	0.0276425429586615	186074.896836036	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep18
469	1	3	0.00572403497247931	-5.45940651803379	0.0466660771762582	0.0095434056157419	-22.5689662873945	0.00910973621414276	184991.120498016	0.005	0.01	 -5	 -20	0.05	0.01	full	rep19
456	1	3	0.00451402354316534	-4.77633681853479	0.0281431119925166	0.0105285251010113	-19.4303152923548	0.0281431119925166	184985.058476922	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep19
349	1	3	0.0099482030037962	-21.7853271615558	0.0055007733240984	0.00532167527151564	-5.10238140060745	0.0527625738767772	185731.728840429	0.005	0.01	 -5	 -20	0.05	0.01	full	rep20
1	1	3	0.0111677025413603	-18.3350420727599	0.0277085713112231	0.00384085384720718	-4.16986091754232	0.0277085713112231	185722.323539552	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep20
377	1	3	0.00520478305324187	-5.21348918698239	0.0466160916258995	0.00992514556504184	-20.6047112692942	0.0147001694689231	185599.622493147	0.005	0.01	 -5	 -20	0.05	0.01	full	rep21
308	1	3	0.00411541322088708	-4.568958908448	0.029482979722286	0.010834182362401	-18.2104847236323	0.029482979722286	185596.160620208	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep21
119	1	3	0.0106984413761425	-17.8306551703303	0.00899911217881808	0.00423843644362877	-4.66986067782388	0.0585996836550809	187370.841467406	0.005	0.01	 -5	 -20	0.05	0.01	full	rep22
441	1	3	0.00247275665207308	-3.26223246639218	0.0271803638331404	0.0122256083229022	-15.0887288152387	0.0271803638331404	187364.688566764	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep22
94	1	3	0.00546475515346191	-5.36894838214317	0.0469500113704416	0.00944029612647172	-19.8794859388982	0.00938117422188454	186592.768702002	0.005	0.01	 -5	 -20	0.05	0.01	full	rep23
216	1	3	0.0107074318323495	-17.025567019414	0.0272939494793787	0.0039998252090908	-4.52611429654287	0.0272939494793787	186587.72882767	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep23
267	1	3	0.00947602040179358	-20.823908959811	0.0104546636705885	0.00549797820398124	-5.16498685199613	0.0430180485545553	186516.663304436	0.005	0.01	 -5	 -20	0.05	0.01	full	rep24
323	1	3	0.0104107958899956	-18.2850315923485	0.0262972518236975	0.00438677894995239	-4.5329484366538	0.0262972518236975	186512.53176893	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep24
452	1	3	0.0100431336395267	-20.9342431001953	0.00225587641242043	0.00505638425707761	-5.0722262530411	0.0552249777822204	184131.498916704	0.005	0.01	 -5	 -20	0.05	0.01	full	rep25
226	1	3	0.00322798538445778	-3.83223461157949	0.0258506471412961	0.0115628156185814	-17.0870582335149	0.0258506471412961	184121.292228393	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep25
300	1	3	0.00489916734529646	-5.0431156935679	0.0600572138459543	0.0100632906467562	-18.7265016033735	0.00231916617624581	188015.202464167	0.005	0.01	 -5	 -20	0.05	0.01	full	rep26
492	1	3	0.0119386301310165	-15.2823088307726	0.0267245246231876	0.00275932684943009	-3.52971279075025	0.0267245246231876	188005.613032879	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep26
223	1	3	0.00554520340452009	-5.33226804025797	0.0523687172549744	0.00972725766958867	-21.796856623468	0.00229806132899575	186328.090974529	0.005	0.01	 -5	 -20	0.05	0.01	full	rep27
489	1	3	0.0111523202280163	-17.9578619555386	0.0265354101741183	0.00383783028732248	-4.29090835223491	0.0265354101741183	186317.431669121	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep27
242	1	3	0.0103718766426487	-18.48981024582	0.0107050213187922	0.00438916831707332	-4.61568107270452	0.0580219832703363	184466.849896605	0.005	0.01	 -5	 -20	0.05	0.01	full	rep28
281	1	3	0.0117141475693193	-15.7829931261002	0.0291249589809412	0.00282560068478533	-3.43931355673589	0.0291249589809412	184461.226253268	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep28
279	1	3	0.00533701592859662	-5.27785241247496	0.055640680598263	0.00946335554992369	-19.8937006545609	0.00526710139781011	184736.493479068	0.005	0.01	 -5	 -20	0.05	0.01	full	rep29
166	1	3	0.00343171488107865	-4.08526386597574	0.0287824619071008	0.0111131078383276	-16.3183927449046	0.0287824619071008	184727.530989459	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep29
128	1	3	0.00426784218755971	-4.59862171179858	0.0618146318704105	0.0105718144801903	-18.2643252037242	0.00791619043650145	185209.903594702	0.005	0.01	 -5	 -20	0.05	0.01	full	rep30
94	1	3	0.0120394909896985	-15.4685058723877	0.0282826086399379	0.0025688408341046	-3.24660707269019	0.0282826086399379	185202.912051756	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep30
10	1	3	0.0119018653497287	-15.3491619558388	0.0254740689018485	0.00256778827838466	-3.30803525177255	0.0301311701757928	183874.288420897	0.005	0.01	 -5	 -20	0.05	0.01	full	rep31
442	1	3	0.0119967968036042	-15.1938770568769	0.0265597822367433	0.00245841881254399	-3.19348579403004	0.0265597822367433	183874.265295815	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep31
401	1	3	0.0103648503223457	-18.5820077202525	0.0120693821441	0.00456085887083458	-4.8989447977923	0.0454738485915591	186265.963489898	0.005	0.01	 -5	 -20	0.05	0.01	full	rep32
485	1	3	0.00329034448889406	-4.03941774917048	0.0254470795522037	0.0114573914760149	-16.3628912528697	0.0254470795522037	186262.764936914	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep32
153	1	3	0.00501850039283976	-5.12146436046501	0.0466253084344534	0.00997710298417353	-19.7170824746108	0.0117322055096532	185850.706584831	0.005	0.01	 -5	 -20	0.05	0.01	full	rep33
488	1	3	0.0110041258866502	-17.37608322362	0.0272824652316719	0.00382078255383803	-4.38070961406967	0.0272824652316719	185846.589231747	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep33
477	1	3	0.00909066538794927	-25.7780212904696	0.00868560725707948	0.00632981742705932	-5.5530646032933	0.04771769299747	184299.139043826	0.005	0.01	 -5	 -20	0.05	0.01	full	rep34
7	1	3	0.00993923467712707	-21.7688196012124	0.0306146044569933	0.00520428198979209	-4.95426298719104	0.0306146044569933	184291.95916329	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep34
159	1	3	0.00609503962016832	-5.46740484435643	0.053830962147773	0.00877631932484158	-22.4028834317565	0	184475.523518008	0.005	0.01	 -5	 -20	0.05	0.01	full	rep35
316	1	3	0.00421306975976114	-4.43418485122718	0.0290004694604887	0.0103397322340799	-17.7170988946687	0.0290004694604887	184463.998693697	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep35
42	1	3	0.0102802130014154	-21.3531649104659	0.0113112553682653	0.00510442644923527	-5.05820290401673	0.0478892967758329	186402.17205076	0.005	0.01	 -5	 -20	0.05	0.01	full	rep36
