run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
491	1	3	0.010246298647195	-19.1572831550083	0.00752473045137259	0.00476099182328949	-4.89193535292575	0.0552481792556958	186877.427558039	0.005	0.01	 -5	 -20	0.05	0.01	full	rep1
210	1	3	0.000331761976166455	25	0	0.0131641109542363	-11.0811757380122	0	186652.605148552	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep1
471	1	3	0.0100429204938489	-20.9733089591938	0.00880542127941094	0.0051297731883142	-5.10677261190114	0.046889923400427	185307.177318024	0.005	0.01	 -5	 -20	0.05	0.01	full	rep2
42	1	3	0.0131012799021168	-11.0651409531147	0	0.000313271948370488	25	0	185077.167878773	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep2
326	1	3	0.0101162930254056	-20.3781508052821	0.0100931182376277	0.0049091934956468	-4.92266401521436	0.0458833109926681	184646.031580581	0.005	0.01	 -5	 -20	0.05	0.01	full	rep3
255	1	3	0.00031567222881414	25	0	0.0130055310836192	-10.9775127953076	0	184421.599932018	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep3
71	1	3	0.00461264893469378	-4.87539493478876	0.0566824937180359	0.0103132170135309	-18.7860233055639	0.00593996230114136	186000.372888796	0.005	0.01	 -5	 -20	0.05	0.01	full	rep4
434	1	3	0.0131490471923809	-11.1042061186685	0	0.000321987833291399	25	0	185788.600512169	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep4
455	1	3	0.0101871754366025	-19.6873974020014	0.00456309118571432	0.00491488673901268	-5.03541569466541	0.0553169235207789	186782.892625404	0.005	0.01	 -5	 -20	0.05	0.01	full	rep5
492	1	3	0.0132202354854988	-11.1314179337622	0	0.000319977731445002	25	0	186570.372986999	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep5
82	1	3	0.00994655706724552	-21.6618763764811	0.015042620555946	0.00516625503033596	-4.96377627339037	0.0398848424166183	184018.602694858	0.005	0.01	 -5	 -20	0.05	0.01	full	rep6
166	1	3	0.000319686807869832	25	0	0.0128551767047901	-10.8009636019077	0	183759.187299921	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep6
453	1	3	0.0107850803409807	-18.2767734082009	0.0243450477872579	0.0041096798159123	-4.34752293800145	0.0384671182552448	185844.394709103	0.005	0.01	 -5	 -20	0.05	0.01	full	rep7
380	1	3	0.0129829107091157	-10.987622157002	0	0.000352087907293898	25	0	185564.912568453	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep7
