run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
14	1	3	0.00508265201032112	0.267000581493381	73.1011345206812	0.0532545403543839	78062.129812117	0.005	0.3	50	0.05	full	rep1
5	1	3	NA	NA	NA	NA	78006.1533282916	0.005	0.3	50	0.05	reduced	rep1
27	1	3	0.00486281371329157	0.364438556147212	29.1309982384555	0.0514248782551694	79079.086891715	0.005	0.3	50	0.05	full	rep2
40	1	3	NA	NA	NA	NA	79035.9817170041	0.005	0.3	50	0.05	reduced	rep2
19	1	3	0.00480203744687388	0.366112402186951	27.0982159068203	0.0562377364031025	78919.2313347235	0.005	0.3	50	0.05	full	rep3
36	1	3	NA	NA	NA	NA	78876.4438431013	0.005	0.3	50	0.05	reduced	rep3
45	1	3	0.00530732959073117	0.263294146544379	91.6197597613248	0.0517337495886141	78906.6273733605	0.005	0.3	50	0.05	full	rep4
14	1	3	NA	NA	NA	NA	78834.7213000903	0.005	0.3	50	0.05	reduced	rep4
38	1	3	0.00515567409283668	0.305526972278355	54.5735405761808	0.0478411420002578	79478.0183609414	0.005	0.3	50	0.05	full	rep5
6	1	3	NA	NA	NA	NA	79412.6755107876	0.005	0.3	50	0.05	reduced	rep5
9	1	3	0.00579626910183428	0.20365086910415	315.696951863748	0.0583932806552043	77417.0409556818	0.005	0.3	50	0.05	full	rep6
21	1	3	NA	NA	NA	NA	77376.1590460263	0.005	0.3	50	0.05	reduced	rep6
19	1	3	0.00584646102763456	0.197153364131092	344.259520716834	0.0573177585628144	78274.027452384	0.005	0.3	50	0.05	full	rep7
22	1	3	NA	NA	NA	NA	78233.3775443108	0.005	0.3	50	0.05	reduced	rep7
15	1	3	0.00505327128416634	0.254872020714868	73.4158281320083	0.047845926161882	79316.2105156672	0.005	0.3	50	0.05	full	rep8
39	1	3	NA	NA	NA	NA	79259.0362697159	0.005	0.3	50	0.05	reduced	rep8
39	1	3	0.00499728501458904	0.276436266349734	63.6389130006734	0.0471238247785601	77662.695580582	0.005	0.3	50	0.05	full	rep9
11	1	3	NA	NA	NA	NA	77604.6443249372	0.005	0.3	50	0.05	reduced	rep9
29	1	3	0.00492732563928358	0.33683447419896	37.3127909467251	0.0472643182340268	78603.2601519102	0.005	0.3	50	0.05	full	rep10
