run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
14	1	3	0.00508265201032112	0.267000581493381	73.1011345206812	0.0532545403543839	78062.129812117	0.005	0.3	50	0.05	full	rep1
9	1	3	0.00430913814332633	0.158582899557638	91.7835728924124	0	77702.6647476641	0.005	0.3	50	0.05	reduced	rep1
27	1	3	0.00486281371329157	0.364438556147212	29.1309982384555	0.0514248782551694	79079.086891715	0.005	0.3	50	0.05	full	rep2
22	1	3	0.00451060753113715	0.183353733092567	85.6916652248601	0	78726.0824955145	0.005	0.3	50	0.05	reduced	rep2
19	1	3	0.00480203744687388	0.366112402186951	27.0982159068203	0.0562377364031025	78919.2313347235	0.005	0.3	50	0.05	full	rep3
20	1	3	0.00439651056873096	0.169198185764881	86.1098336242537	0	78518.8495944948	0.005	0.3	50	0.05	reduced	rep3
45	1	3	0.00530732959073117	0.263294146544379	91.6197597613248	0.0517337495886141	78906.6273733605	0.005	0.3	50	0.05	full	rep4
39	1	3	0.0044156891144294	0.166564561234856	92.695409349383	0	78552.294846142	0.005	0.3	50	0.05	reduced	rep4
38	1	3	0.00515567409283668	0.305526972278355	54.5735405761808	0.0478411420002578	79478.0183609414	0.005	0.3	50	0.05	full	rep5
40	1	3	0.0045943554210537	0.188938984911083	88.5179848035666	0	79164.2112235333	0.005	0.3	50	0.05	reduced	rep5
9	1	3	0.00579626910183428	0.20365086910415	315.696951863748	0.0583932806552043	77417.0409556818	0.005	0.3	50	0.05	full	rep6
9	1	3	0.00428119542182669	0.161062588814628	88.956989159103	0	77031.5855373273	0.005	0.3	50	0.05	reduced	rep6
19	1	3	0.00584646102763456	0.197153364131092	344.259520716834	0.0573177585628144	78274.027452384	0.005	0.3	50	0.05	full	rep7
36	1	3	0.00435119348431072	0.165385545156596	88.2964223277565	0	77912.3060633519	0.005	0.3	50	0.05	reduced	rep7
15	1	3	0.00505327128416634	0.254872020714868	73.4158281320083	0.047845926161882	79316.2105156672	0.005	0.3	50	0.05	full	rep8
46	1	3	0.00436723571053473	0.158498980208088	91.1934238224702	0	79016.8989265284	0.005	0.3	50	0.05	reduced	rep8
39	1	3	0.00499728501458904	0.276436266349734	63.6389130006734	0.0471238247785601	77662.695580582	0.005	0.3	50	0.05	full	rep9
8	1	3	0.00439545585014608	0.173028929591189	90.3294434730654	0	77372.4220151121	0.005	0.3	50	0.05	reduced	rep9
29	1	3	0.00492732563928358	0.33683447419896	37.3127909467251	0.0472643182340268	78603.2601519102	0.005	0.3	50	0.05	full	rep10
49	1	3	0.00454960431012937	0.190855398389932	86.060362107148	0	78299.8978900866	0.005	0.3	50	0.05	reduced	rep10
5	1	3	0.0052168705248896	0.302845237473559	57.9068488566092	0.0476403577965604	79852.1614851916	0.005	0.3	50	0.05	full	rep11
41	1	3	0.00461366787087429	0.188989332253206	88.7382306298902	0	79521.1430528943	0.005	0.3	50	0.05	reduced	rep11
43	1	3	0.00592821653454951	0.204037950234991	338.820456241574	0.0575001316747432	78077.1628374593	0.005	0.3	50	0.05	full	rep12
17	1	3	0.00439145287607901	0.172339896261668	87.8814239322168	0	77706.0186688613	0.005	0.3	50	0.05	reduced	rep12
13	1	3	0.00508656260718553	0.29482902841147	56.1743388265043	0.0444318863484694	79123.2656839269	0.005	0.3	50	0.05	full	rep13
37	1	3	0.00456496543552324	0.186645328635755	89.246646598486	0	78838.1611891521	0.005	0.3	50	0.05	reduced	rep13
41	1	3	0.00519334192197081	0.287110332675686	61.1476404265369	0.0517513405003298	80398.7489953707	0.005	0.3	50	0.05	full	rep14
13	1	3	0.00450725683894213	0.171223389870987	90.0019681203156	0	80037.6878939909	0.005	0.3	50	0.05	reduced	rep14
11	1	3	0.00457773371246106	0.490035851619504	13.7081370100397	0.0552114585659191	78076.7459423016	0.005	0.3	50	0.05	full	rep15
8	1	3	0.00440806431673311	0.179626758081375	82.0458945966573	0	77686.193515446	0.005	0.3	50	0.05	reduced	rep15
4	1	3	0.00488046220613589	0.329959569511417	35.7396148947559	0.0566534810433525	78921.6555817688	0.005	0.3	50	0.05	full	rep16
40	1	3	0.00437180520260466	0.164692761054184	87.6200439465562	0	78525.2798487036	0.005	0.3	50	0.05	reduced	rep16
25	1	3	0.00531745422650807	0.26930571701703	91.7854515437218	0.0453878715133045	78269.6252891459	0.005	0.3	50	0.05	full	rep17
13	1	3	0.00450111951260693	0.182700558865367	90.7166710966498	0	77964.2551632944	0.005	0.3	50	0.05	reduced	rep17
3	1	3	0.00500037061798524	0.284731498228945	58.5602882540622	0.0492380429017704	77974.4526024015	0.005	0.3	50	0.05	full	rep18
5	1	3	0.00439535966894166	0.171290463007778	90.3145326167485	0	77651.2711954307	0.005	0.3	50	0.05	reduced	rep18
33	1	3	0.00479678138091032	0.284257724804097	48.1304706235381	0.0496073408030137	77435.5755799022	0.005	0.3	50	0.05	full	rep19
36	1	3	0.00427344903593327	0.159720095046976	88.6914612740805	0	77113.7525345865	0.005	0.3	50	0.05	reduced	rep19
20	1	3	0.0053128040419777	0.28466356019258	70.5785862519862	0.0478811143169548	80450.9719086767	0.005	0.3	50	0.05	full	rep20
37	1	3	0.0046033435225027	0.182527791027138	90.4226443626887	0	80123.274919784	0.005	0.3	50	0.05	reduced	rep20
37	1	3	0.00573553211012759	0.245574095867262	174.66499079278	0.0501916891566692	78109.5644640156	0.005	0.3	50	0.05	full	rep21
3	1	3	0.00446544823220036	0.177521681502936	93.0740020894225	0	77772.5487178074	0.005	0.3	50	0.05	reduced	rep21
48	1	3	0.00492408150233487	0.326920316739052	38.1995122469633	0.0484073758330083	79109.8279546212	0.005	0.3	50	0.05	full	rep22
44	1	3	0.00451463033640405	0.182341927155073	86.969189319411	0	78795.7692929123	0.005	0.3	50	0.05	reduced	rep22
9	1	3	0.00598605338015984	0.260175425185419	169.459074357698	0.050974052042023	79746.8200555873	0.005	0.3	50	0.05	full	rep23
40	1	3	0.00463053571830228	0.189854684002959	91.2773098479798	0	79377.9467540534	0.005	0.3	50	0.05	reduced	rep23
38	1	3	0.00509619603417809	0.291765824551617	59.3694773681978	0.0463579054116047	78668.5249080863	0.005	0.3	50	0.05	full	rep24
48	1	3	0.00451646580254689	0.183683659399172	88.8354114110767	0	78365.6854278338	0.005	0.3	50	0.05	reduced	rep24
45	1	3	0.00580881249428956	0.198013436060272	329.906856635374	0.0538306416234079	78342.8363245277	0.005	0.3	50	0.05	full	rep25
36	1	3	0.00437451106249364	0.168269459808513	87.7117789076546	0	78013.9068536576	0.005	0.3	50	0.05	reduced	rep25
21	1	3	0.00469188084645005	0.37521995651344	23.1279569324719	0.0505322314165071	78929.0546415943	0.005	0.3	50	0.05	full	rep26
10	1	3	0.00442417476192182	0.173868402605269	84.260648568845	0	78604.1147417187	0.005	0.3	50	0.05	reduced	rep26
43	1	3	0.00523697527592032	0.272108021819587	78.2096079927265	0.0477886426016676	79109.3153183836	0.005	0.3	50	0.05	full	rep27
