run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
12	1	3	0.00578639848409887	0.221099908919041	233.527032188646	0.0567423623889444	176843.474696417	0.005	0.3	50	0.05	full	rep1
8	1	3	0.00433193856663893	0.157960031498426	91.6170536361571	0	176077.008108568	0.005	0.3	50	0.05	reduced	rep1
43	1	3	0.00504833662297693	0.295126553676874	57.4089136405189	0.0489692241206437	175006.630109301	0.005	0.3	50	0.05	full	rep2
4	1	3	0.00444874913845497	0.179851003566447	89.007609626323	0	174350.032705208	0.005	0.3	50	0.05	reduced	rep2
35	1	3	0.0050825008226868	0.289826122958218	60.8837811422955	0.0489955282946027	175642.674586051	0.005	0.3	50	0.05	full	rep3
8	1	3	0.00445676940974363	0.17872533144954	89.436890837078	0	174995.471866245	0.005	0.3	50	0.05	reduced	rep3
3	1	3	0.00535206947126882	0.278175727460744	81.6293547240262	0.0524705923055407	178338.835581454	0.005	0.3	50	0.05	full	rep4
23	1	3	0.00448402236100296	0.173579526269917	91.2692267013095	0	177574.423476937	0.005	0.3	50	0.05	reduced	rep4
44	1	3	0.0048985683492545	0.305401977819977	44.1302522192529	0.0491486211269594	176185.98955749	0.005	0.3	50	0.05	full	rep5
48	1	3	0.00441713009110215	0.17307392001159	88.1079049867428	0	175543.872009521	0.005	0.3	50	0.05	reduced	rep5
16	1	3	0.00508700515325252	0.300196635269076	50.4463248660617	0.0487739018196261	180211.272825219	0.005	0.3	50	0.05	full	rep6
27	1	3	0.00454556399523813	0.178028465729846	88.4894609588151	0	179565.925096661	0.005	0.3	50	0.05	reduced	rep6
12	1	3	0.00487554884642412	0.292535979688982	47.6721213178134	0.0500591163823257	175563.045641612	0.005	0.3	50	0.05	full	rep7
48	1	3	0.00435474831009447	0.165908682707976	89.1214961636092	0	174923.57090447	0.005	0.3	50	0.05	reduced	rep7
45	1	3	0.00471195621439263	0.341749080765323	27.5625425824178	0.0503709447592945	177863.474043676	0.005	0.3	50	0.05	full	rep8
41	1	3	0.00438636916976791	0.16579441754831	86.2088103013731	0	177229.479022892	0.005	0.3	50	0.05	reduced	rep8
39	1	3	0.00487554975281821	0.327993436994211	37.5809991503444	0.0498605173818766	175962.910169857	0.005	0.3	50	0.05	full	rep9
7	1	3	0.00444825028857514	0.178732408260331	86.9886905459758	0	175298.382972291	0.005	0.3	50	0.05	reduced	rep9
33	1	3	0.00507442194517338	0.290079184805281	58.972179443749	0.0462151623087747	176588.074557801	0.005	0.3	50	0.05	full	rep10
21	1	3	0.00450177476073391	0.18191801844737	89.1478374519018	0	175984.213603065	0.005	0.3	50	0.05	reduced	rep10
20	1	3	0.00507972223602494	0.302350837968791	52.712686586011	0.0493293479236922	177567.008983833	0.005	0.3	50	0.05	full	rep11
22	1	3	0.00450960760660769	0.180525216434844	88.9307501207003	0	176897.340423949	0.005	0.3	50	0.05	reduced	rep11
11	1	3	0.00495528878084873	0.302237908263397	48.3858137397588	0.0500016046428883	175797.903794401	0.005	0.3	50	0.05	full	rep12
25	1	3	0.00442086275325601	0.173967618440872	89.1197620412799	0	175128.231623393	0.005	0.3	50	0.05	reduced	rep12
15	1	3	0.00556813794611278	0.242429133403902	150.565721327342	0.0502583224775312	176545.645612014	0.005	0.3	50	0.05	full	rep13
14	1	3	0.00440524449113025	0.167099221459887	92.8298720510473	0	175876.842007844	0.005	0.3	50	0.05	reduced	rep13
9	1	3	0.00478461787149907	0.33353963752894	34.290034208078	0.0510465857515686	174364.732031235	0.005	0.3	50	0.05	full	rep14
44	1	3	0.00437516995259365	0.173902880861309	86.7959229200346	0	173682.354404132	0.005	0.3	50	0.05	reduced	rep14
30	1	3	0.00501590433569027	0.311811640460437	46.6674493775156	0.0511002499538454	177163.279702077	0.005	0.3	50	0.05	full	rep15
44	1	3	0.00447616667714889	0.178059603152565	88.1947062823128	0	176462.88664868	0.005	0.3	50	0.05	reduced	rep15
20	1	3	0.00483482698829223	0.329647731561545	36.0619582709232	0.0505116428375477	175449.022054076	0.005	0.3	50	0.05	full	rep16
9	1	3	0.00441696891184028	0.176245568894364	86.8242460229172	0	174782.902023014	0.005	0.3	50	0.05	reduced	rep16
30	1	3	0.00498637697476365	0.302014033859398	48.4883754570835	0.0531591951412561	176889.624267602	0.005	0.3	50	0.05	full	rep17
46	1	3	0.00439842731797741	0.168325627159181	88.9065529750204	0	176150.635241131	0.005	0.3	50	0.05	reduced	rep17
40	1	3	0.00499963477081309	0.29078109819383	53.4587229107971	0.0515294983326856	176805.582824256	0.005	0.3	50	0.05	full	rep18
38	1	3	0.00439622716179212	0.168025867116599	89.0431378316873	0	176112.069275582	0.005	0.3	50	0.05	reduced	rep18
4	1	3	0.00487526660309187	0.305084091899008	41.5872225448729	0.0523289265254989	177372.527321909	0.005	0.3	50	0.05	full	rep19
38	1	3	0.00436619706082496	0.162902364304131	88.6551884658633	0	176666.074909948	0.005	0.3	50	0.05	reduced	rep19
35	1	3	0.00490591015916804	0.335623244073718	33.9237888109835	0.0512516723149782	179446.401212813	0.005	0.3	50	0.05	full	rep20
10	1	3	0.00448860485856852	0.174218345407882	86.9986580612581	0	178742.772199234	0.005	0.3	50	0.05	reduced	rep20
15	1	3	0.00495052744475908	0.326211929773012	38.8162584757781	0.0512777526848437	178158.00014964	0.005	0.3	50	0.05	full	rep21
33	1	3	0.00447832340011455	0.176198488664523	87.4484619416257	0	177436.190752628	0.005	0.3	50	0.05	reduced	rep21
38	1	3	0.00497737257478653	0.319497505881398	41.5152817867081	0.0505544452279074	178292.397281393	0.005	0.3	50	0.05	full	rep22
27	1	3	0.00449391108908988	0.177577503459317	87.6948672442362	0	177602.947783085	0.005	0.3	50	0.05	reduced	rep22
43	1	3	0.00502355931103185	0.294638648071184	54.7393243319408	0.0546802823808478	175654.274984088	0.005	0.3	50	0.05	full	rep23
2	1	3	0.0043593816039131	0.165895510958078	90.084037042387	0	174882.777997073	0.005	0.3	50	0.05	reduced	rep23
24	1	3	0.00512136510273577	0.294727914069168	59.1512104617717	0.0490480111451532	176893.62391622	0.005	0.3	50	0.05	full	rep24
