run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
4218	1	3	0.00633199272380316	-5.54665234921297	0.0353558793432974	0.00170617814853518	-44.315629264706	0.0220671101660291	0.00210841863795025	0.13695710413548	0	1086330.65008948	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep1
3959	1	3	0.00656001955750626	-3.12382502917571	0	0.000304540564587127	100	0	0.00280290568710088	-20.9391398946019	0	1086285.72487318	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep1
3063	1	3	0.00486359270250113	-6.58204907787028	0	0.0036125728841611	-1.18017312329076	0.06295375943571	0.0017372254306469	-43.6354685014859	0	1087710.64544781	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep2
2697	1	3	0.00635391897284378	-3.02105077876786	0	0.000301145306544619	100	0	0.00308843121713835	-19.916981512501	0	1087689.82394005	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep2
245	1	3	0.00143725091823585	-70.4719273991815	0.000531226962842157	0.00597970199780061	-6.23197471672328	0	0.00288425322406816	-0.810805909250446	0.0791509093789573	1089435.92996929	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep3
3526	1	3	0.00291059622915295	-16.8823649129807	0	0.000308337303679035	100	0	0.00637675542619642	-3.14678256415192	0	1089410.8961157	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep3
1008	1	3	0.00170274816614746	-184.693185735706	0	0.00425462788191588	-10.17110843719	0	0.00497158637564311	-1.76233408859601	0.0476309299491129	1078734.79218256	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
818	1	3	0.00312219984962379	-20.1588340530054	0	0.0062677034028978	-2.9917264464144	0	0.000302045981515847	100	0	1078706.81736866	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
2417	1	3	0.000428930759366572	2.70889260795915	0.470210127948649	0.00299830541437974	-19.0068021018701	0	0.00646809194131074	-3.16681101708292	0.00560196484537941	1083061.46245748	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep5
3305	1	3	0.00289964902685061	-20.7407565966228	0	0.000310909602534961	100	0	0.00648918176941482	-3.15177925866632	0	1083036.6222106	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep5
1858	1	3	0.0024855367537062	-26.7350160700382	0.0563678691989262	0.00696969502632396	-3.60379102632996	0	0.000496498358176133	5.16531106296456	0.256984741989491	1083004.19589498	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep6
1614	1	3	0.00030450054221067	100	0	0.00677180286529193	-3.20389805314223	0	0.00259754621914812	-24.3443402800931	0	1082966.27210024	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep6
3719	1	3	0.00654360596261788	-3.18704568488421	0	0.00305435638321247	-20.7292088910576	0.0755984309256646	0.000329508919449293	15.6849560570748	0	1087126.23682157	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
3959	1	3	0.00278724831990932	-21.5000427488565	0	0.000311056017010519	100	0	0.00661564936318395	-3.19100218228143	0	1087103.57800797	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
4013	1	3	0.0043621384155513	-9.43240659195759	0	0.00209002195456405	-160.877597261348	0.0214418469563751	0.00477053384941924	-1.69813663610494	0.0480696847837529	1083044.44737306	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep8
2195	1	3	0.00312480678356571	-21.4940548809682	0	0.000302367384402996	100	0	0.00638747548618799	-3.06725706968294	0	1083004.70134779	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep8
3960	1	3	0.00648737462341845	-3.33706860623253	0	0.000421787898017272	8.89769161389911	0	0.00292177981456266	-19.7829501587628	0.0842290694101804	1082832.69496734	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep9
76	1	3	0.000294350103134811	100	0	0.00301715551628614	-17.5637985564168	0	0.00624412359070669	-2.97298664756709	0	1082799.09207248	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep9
2934	1	3	0.00460904773115264	-8.81902903583769	0	0.00446814727138387	-1.55269276307301	0.0472977444039843	0.00230812565999907	-191.87273223868	0.0612772017789688	1079218.26324145	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep10
4180	1	3	0.00302366576098043	-20.513941416227	0	0.00637849499607242	-3.06145349908978	0	0.000297011051975955	100	0	1079166.49046358	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep10
4535	1	3	0.00166375545142743	-43.8005779678753	0.040953874371999	0.00227150559309111	0.142676024843392	0.00271386452460415	0.00625617221326326	-5.9897855606759	0.0296151613048321	1087094.70732929	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep11
2622	1	3	0.000285589054151278	100	0	0.00608078230997794	-2.86312510922296	0	0.0033105112703716	-17.3576839506913	0	1087049.28707333	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep11
3116	1	3	0.00650787901046108	-5.41447236565538	0.0331622198837637	0.00191456407459377	0.294360391336204	0.00663004292835603	0.00164477454377904	-42.2256961762379	0.00351135711590968	1081639.40581336	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep12
4226	1	3	0.00291248469377178	-18.6543896027018	0	0.000297997397821782	100	0	0.00638414412824525	-3.08147423939193	0	1081607.926401	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep12
3754	1	3	0.00628195218997357	-5.29569593561061	0.033527030554751	0.00194384909235065	-43.7688975138	0.01137786443618	0.00199681922689649	0.18847491262482	0.00522929304027434	1083990.23662963	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep13
2496	1	3	0.00289040408981103	-22.3727057510694	0	0.00655507860922348	-3.09876856594917	0	0.000296980439799047	100	0	1083955.13852619	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep13
1264	1	3	0.000339163552689302	13.7703270681596	0.0305297696090561	0.00311806086444036	-21.1752350934122	0.0769067995324184	0.0065263395151867	-3.205218138273	0	1086098.67170253	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep14
1211	1	3	0.000312876251947038	100	0	0.0065578079158579	-3.18093753549359	0	0.00285564432526285	-21.1953626074264	0	1086068.10123871	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep14
4160	1	3	0.00165950896291342	-127.076715037959	0.0298493215345762	0.00425156578121135	-1.41428369402901	0.0511987813704487	0.00482081323591366	-8.37562114888602	0	1084885.06159757	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep15
1791	1	3	0.000297132326545572	100	0	0.00619270662005011	-2.94258540572033	0	0.00316282758120419	-18.1818246580249	0	1084848.57905024	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep15
3800	1	3	0.00643169639212213	-3.27431834701552	0	0.00300724491155611	-19.8293837679016	0.0908125372433768	0.000415940165495863	7.80682779666458	0	1081360.74051417	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep16
1976	1	3	0.00284698202893169	-19.5730225524718	0	0.00644192553898821	-3.0693023824882	0	0.000297739747757857	100	0	1081310.04523497	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep16
4542	1	3	0.00454033241517181	-1.57190592581219	0.0479505092881248	0.00488389786274265	-9.4741487887402	0.00340942382612093	0.0027106689524194	-499.035723486145	0	1086945.34028766	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep17
1225	1	3	0.00600261497125411	-2.90762318495672	0	0.000297819623691837	100	0	0.0033423307523051	-16.2157661736576	0	1086914.20091053	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep17
2926	1	3	0.00677123228105602	-3.69935074495782	0.0112361105088297	0.00269251429168573	-26.5218764659063	0.0635296466405878	0.000570929389915961	4.81112318594159	0.0374504560445462	1078161.91778666	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep18
2669	1	3	0.00634263796629483	-3.0257747065642	0	0.00030008667130405	100	0	0.00303890823574561	-20.6496119377955	0	1078120.40357312	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep18
3512	1	3	0.006672423080532	-4.78208100599629	0.0303775032685173	0.00210390436609166	-35.2986082556698	0.0328336525185534	0.00142345386531446	1.01583576416782	0	1088454.56196408	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep19
