run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
2798	1	3	0.00275870005707158	-26.8602394113814	0.0786560782944557	0.000375997468189522	10	0	0.00691527878692583	-3.48718049525786	0.00594563737022941	459453.207924125	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep1
311	1	3	0.0038357339035006	-15.3300377861545	0	0.00602191311336689	-2.2712509043341	0.040256656277308	NA	NA	NA	459446.07938322	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep1
4689	1	3	0.00437742047930432	-4.84102119172468	0	0.00271461638801055	-24.5671666850541	0.0146897486589233	0.00296085720266468	-1.02402701675963	0.0680375240719868	459413.723535667	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep2
264	1	3	0.00396088365301395	-16.4284369112216	0	0.00598198193124339	-2.20387171720543	0.0397149091819727	NA	NA	NA	459412.289232395	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep2
526	1	3	0.00333139199197671	-16.3859253668205	0.0718438679848605	0.000419514190017926	7.81914310497024	0	0.00614276399498133	-3.17765791844998	0	464777.666628228	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep3
95	1	3	0.00525624846808159	-1.88226382712191	0.0438808767203778	0.00455894683390193	-11.7570999492325	0	NA	NA	NA	464775.851142611	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep3
3147	1	3	0.00679735665831166	-5.42273529748073	0.0339945215560831	0.00170404110342663	-47.3866893186288	0	0.0016402084956434	0.934027651348406	0	458173.202691869	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
118	1	3	0.00496695869784459	-1.73428768897083	0.0480084510323009	0.00476682453108763	-11.6779186345823	0	NA	NA	NA	458164.275875395	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
4915	1	3	0.000275117433619293	10	0.000492987385015278	0.00683095856355341	-3.16499162320158	0.0164779712621802	0.00283805818122021	-25.7050805885445	0.05302666677599	456118.906564186	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep5
277	1	3	0.00635664115159043	-2.37875721393724	0.0403356951544322	0.00346185289168159	-17.7995081496497	0	NA	NA	NA	456115.347006262	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep5
2840	1	3	0.00293239402035139	-23.4638846743353	0.0801633686890598	0.000400490028963488	10	0.00584328001775743	0.0067531720118141	-3.40452194025607	1.45310165090251e-05	465596.202600164	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep6
186	1	3	0.00414100956534092	-13.9805933504214	0	0.00577976750127811	-2.10716705141837	0.0390771550223578	NA	NA	NA	465591.037507853	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep6
3481	1	3	0.00656714199194032	-3.24835200269027	0.00762393468341394	0.00322064597731792	-23.9789419311017	0.0653326694163266	0.000346276128779254	10	0.00150157635696472	460248.493991571	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
116	1	3	0.00597793215244956	-2.23290416451959	0.0415276788076946	0.00401465241453314	-16.3799954093097	0	NA	NA	NA	460244.349869319	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
2205	1	3	0.00438629154154304	-1.47395530853066	0.0385188950029452	0.00127481311235245	-160.36564672666	0	0.00488999406851408	-9.18335889543872	0.0163811583171184	459762.318273157	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep8
409	1	3	0.00555524798380074	-2.03873764168899	0.0442338077385027	0.0042472276071428	-13.2635151637194	0	NA	NA	NA	459758.430422577	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep8
1729	1	3	0.00660562095086005	-2.74659350851131	0.0254494393513991	0.000151853825370992	10	0.000658635564538446	0.00313656716748058	-19.9263992842502	0.0188722118062814	461452.569025056	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep9
238	1	3	0.00624927173269245	-2.28102182935444	0.0374715063392035	0.00359308916347502	-16.3860887811536	0	NA	NA	NA	461451.205985789	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep9
3115	1	3	0.00558452196599747	-4.81900721446129	0	0.00221777505235811	-0.367835501175858	0.10000686843562	0.00224432532693444	-27.8581149209416	0	462611.473873907	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep10
413	1	3	0.00544089037246737	-1.91046227276827	0.042917654219852	0.00441130271256992	-13.1930338655884	0	NA	NA	NA	462606.532141864	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep10
4200	1	3	0.00499308048422622	-7.50653575306945	0	0.00388967640466456	-1.25542307848851	0.0600283449944039	0.00115433708470157	-57.4157901518417	0	460283.981612721	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep11
462	1	3	0.00459604806798641	-11.4339967815753	0	0.00510063840343053	-1.7825223742157	0.0469948387105444	NA	NA	NA	460279.839681862	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep11
3156	1	3	0.000603593021825566	4.45419940949966	0.346283179770973	0.00210921855162383	-36.6316368287225	0	0.0074208287070926	-4.04368245182582	0	463532.112295247	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep12
496	1	3	0.0048842623175355	-10.6660113457948	0	0.00484849878312353	-1.66501446075457	0.0481906170664568	NA	NA	NA	463514.604601344	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep12
2509	1	3	0.0021632064829789	-28.4483755351541	0.0388694910251074	0.00151777394151306	0.980633015853999	0.00344628004709659	0.00635055828093697	-4.7607441972007	0.0278742079752394	461791.161052391	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep13
236	1	3	0.00561272321672966	-1.99988911114766	0.0441543088141299	0.0042250571983411	-13.6571611410826	0	NA	NA	NA	461787.35794278	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep13
2964	1	3	0.0050366796354335	-7.57024668017258	0	0.00392404279179314	-1.32748487479574	0.0574617490266266	0.00124660730727079	-68.4505453364996	0.0152655327086518	462013.976849038	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep14
268	1	3	0.0044302191401632	-12.1183196151261	0	0.00535282631129405	-1.95116234519258	0.0449574347485875	NA	NA	NA	462009.419503216	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep14
431	1	3	0.000312524732831863	6.15080261719784	0.0100693405904272	0.00623095508237678	-2.96269904293761	0.024829143772008	0.00315992329190968	-16.4479170894295	0.0243746103005106	456677.235342945	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep15
63	1	3	0.00535421309591112	-1.92857270908227	0.0448682198297269	0.00428510614444176	-12.1144080951089	0	NA	NA	NA	456675.368185798	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep15
1731	1	3	0.00649625628797749	-4.9660491430496	0.0218300276936715	0.00169111124947022	0.359932027465711	0.0539133066353941	0.00199706991547718	-39.1144697660581	0	460925.039932172	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep16
158	1	3	0.00425714755691689	-13.5866030494216	0	0.00559984016995787	-2.06381644544884	0.0435516562671511	NA	NA	NA	460916.598834776	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep16
675	1	3	0.0026741298241141	-22.9114534346448	0.0631030722687164	0.000543214570066225	4.7607633931863	0.195474922386362	0.00677084481145647	-3.5463019860084	0	464841.64393965	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep17
