run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
9116	1	3	0.00674971170185136	-5.46445773786871	0.0308598835429457	0.00169468541162941	-48.2360217321878	0	0.00170273942505436	0.799648727274637	0.0132297353438117	458173.187488544	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
40	1	3	0.00496687353012466	-1.73424566231077	0.0480090581837251	0.00476691115918147	-11.6776726650767	0	NA	NA	NA	458164.275875343	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
7711	1	3	0.000354127585001509	12.3461698943087	0	0.00327970504607423	-23.9705899716276	0.0798851574942312	0.00650274225099861	-3.2456344208288	0	460248.561598661	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
5430	1	3	0.00401465220135711	-16.3800831108487	0	0.00597793976884513	-2.23290818303887	0.0415276689358531	NA	NA	NA	460244.349869315	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
839	1	3	0.00668812479490536	-2.80220668576417	0.0300810882539857	0.00304374598451246	-20.4318412958025	0.00799719055433975	0.000168150658375942	6.53156162860897	0.00428204248970872	461452.530051154	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep9
5188	1	3	0.00359308802411666	-16.3860768625313	2.22044604925031e-18	0.0062492747446401	-2.28102432073194	0.0374715930039767	NA	NA	NA	461451.205985784	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep9
3223	1	3	0.00239167228586645	-0.48718652658585	0.0928620894296532	0.00219668336509827	-28.414952622649	2.22044604925031e-18	0.00546281385118932	-4.98241204333631	0	462611.472390103	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep10
7284	1	3	0.00544091117224082	-1.91047639244671	0.0429176785448123	0.00441128946847669	-13.1930934252405	1.11022302462516e-17	NA	NA	NA	462606.532141847	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep10
2312	1	3	0.000603142504342759	4.45665645794316	0.339214191828742	0.0074211424370002	-4.04292111732868	0.000592321124311137	0.00210945720162908	-36.6348478715745	0	463532.112288923	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep12
3146	1	3	0.00484853619880926	-1.66503286268291	0.048190173391823	0.00488423187476259	-10.6661098961737	0	NA	NA	NA	463514.604601331	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep12
9031	1	3	0.00124065636042057	-75.2377965297035	0.017468425499412	0.0050551207506091	-7.66284643817361	4.44089209850063e-18	0.00394615761640003	-1.33299953126262	0.0569746464468776	462013.984107719	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep14
