run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
6157	1	3	0.00686559071229395	-3.47697998741858	0.000892730131189192	0.000377726914981583	11.6397139342918	7.93405147952075e-05	0.00280617041587018	-26.6964701294808	0.0901684881428111	459453.230576255	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep1
1006	1	3	0.000481141251877317	4.0200643264177	0.0240070198057297	0.00701264819290001	-3.62246166854942	0.0240070198057297	0.00254868742582683	-27.5853864660684	0.0240070198057297	459452.425456659	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep1
5212	1	3	0.00343104045542534	-6.62476105957605	0.000996736138605154	0.00431438182549706	-1.5719823196232	0.0487913535418514	0.00232083696029545	-27.3505864134662	0.0113317820408491	459413.714112676	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep2
6965	1	3	0.000463910704613472	3.30620552018449	0.0243179549013053	0.0063957567545075	-3.20350491611925	0.0243179549013053	0.0031768762876784	-21.88322632848	0.0243179549013053	459413.665767246	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep2
9116	1	3	0.00674971170185136	-5.46445773786871	0.0308598835429457	0.00169468541162941	-48.2360217321878	0	0.00170273942505436	0.799648727274637	0.0132297353438117	458173.187488544	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
1243	1	3	0.00694102635380801	-4.8872487765686	0.0240685279691515	0.00190458552097066	-38.8456720476854	0.0240685279691515	0.00124202339757066	1.69768453689513	0.0240685279691515	458172.763495638	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
2664	1	3	0.000288713016990619	13.8947502347431	0	0.0029144041229291	-25.6138762051869	0.0743736002821657	0.00674214380044729	-3.16363871978607	0.00710572707104312	456118.948006433	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep5
929	1	3	0.000305840014188425	5.6357127302912	0.0258075338777956	0.00690087789898438	-3.21620324743631	0.0258075338777956	0.00273380765469795	-25.9722775241946	0.0258075338777956	456118.757183977	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep5
8749	1	3	0.000379762269707586	10.9947202757489	2.32782679546961e-05	0.00674843698567464	-3.35889530484389	0	0.00296429374951364	-23.5695306095224	0.0792156760755023	465596.25990918	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep6
9649	1	3	0.00261414089832795	-25.1559596125632	0.022202861593944	0.00691270716742607	-3.64768850673521	0.022202861593944	0.000568250370917845	3.47529724304676	0.022202861593944	465595.928944126	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep6
7711	1	3	0.000354127585001509	12.3461698943087	0	0.00327970504607423	-23.9705899716276	0.0798851574942312	0.00650274225099861	-3.2456344208288	0	460248.561598661	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
5971	1	3	0.000378853196716027	4.8830917343143	0.0246290753659437	0.00664298956012596	-3.2738493814636	0.0246290753659437	0.00309779889221288	-23.7461207292446	0.0246290753659437	460247.977334833	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
3051	1	3	0.00492275186772838	-9.12416320961976	0.0171553313524426	0.00434954413510044	-1.45219873494418	0.0379373724354485	0.00127877554241446	-159.091568667923	0	459762.31861476	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep8
5537	1	3	0.00558604845382076	-7.79222105853545	0.0262271703019996	0.00349554367986237	-0.913408669479951	0.0262271703019996	0.0012463508790694	-94.6005250810004	0.0262271703019996	459761.760359256	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep8
839	1	3	0.00668812479490536	-2.80220668576417	0.0300810882539857	0.00304374598451246	-20.4318412958025	0.00799719055433975	0.000168150658375942	6.53156162860897	0.00428204248970872	461452.530051154	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep9
1996	1	3	0.00316096149333111	-19.8656319041869	0.0229526462316097	0.000154431770434299	11.5489324699276	0.0229526462316097	0.00657788083632186	-2.7411719843516	0.0229526462316097	461452.576450478	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep9
3223	1	3	0.00239167228586645	-0.48718652658585	0.0928620894296532	0.00219668336509827	-28.414952622649	2.22044604925031e-18	0.00546281385118932	-4.98241204333631	0	462611.472390103	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep10
5399	1	3	0.00286972519310682	-22.5537090609637	0.0226439277991555	0.00046038712807357	5.0336213051862	0.0226439277991555	0.00668026215222431	-3.39491915224232	0.0226439277991555	462611.156759	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep10
2312	1	3	0.000603142504342759	4.45665645794316	0.339214191828742	0.0074211424370002	-4.04292111732868	0.000592321124311137	0.00210945720162908	-36.6348478715745	0	463532.112288923	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep12
599	1	3	0.000500552906910172	6.23023409926112	0.0214440975418613	0.00222750278151582	-34.5013414913273	0.0214440975418613	0.00739396913262349	-3.87989443243688	0.0214440975418613	463531.909535343	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep12
3756	1	3	0.00629319956560606	-4.86855061360818	0.0267191691363346	0.00162363094426585	0.803580150859322	0.0106221493371585	0.00211941708229412	-28.9446092450854	0.0381287459515995	461791.155258342	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep13
5445	1	3	0.00230662043689326	-0.0464415969492624	0.0259634192107787	0.00187711502711164	-32.6419412455942	0.0259634192107787	0.00587018736249901	-5.55353647362187	0.0259634192107787	461791.077979057	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep13
9031	1	3	0.00124065636042057	-75.2377965297035	0.017468425499412	0.0050551207506091	-7.66284643817361	4.44089209850063e-18	0.00394615761640003	-1.33299953126262	0.0569746464468776	462013.984107719	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep14
1949	1	3	0.00662904059375701	-5.76866646880594	0.0248468641707163	0.00204929725990004	0.237288318560251	0.0248468641707163	0.00150049078234459	-53.8920561179114	0.0248468641707163	462013.189378299	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep14
1440	1	3	0.00625956952199181	-3.05490102936994	0.0200797513294538	0.000362834153036822	5.09302438740984	0.147690985206304	0.00308293379451449	-16.6848945816896	0.0179456744383441	456677.222349203	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep15
6231	1	3	0.000306851338325055	6.29353787513602	0.0241963198418201	0.00621806033203014	-2.94731020234683	0.0241963198418201	0.0031776994610658	-16.371977131019	0.0241963198418201	456677.23544848	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep15
3485	1	3	0.00197248269031595	-39.8017607342586	0.000218324151057621	0.00196599418567729	-0.0399194320328161	0.0722462346267548	0.00625062850782943	-5.11763026785332	0.0144291637908879	460925.040732271	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep16
450	1	3	0.00707680091176642	-4.38873881424142	0.0241716868564693	0.00217855542479077	-37.0071748202179	0.0241716868564693	0.000934860752537603	2.21819208657268	0.0241716868564693	460924.562072972	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep16
3675	1	3	0.0027285924051496	-22.5144670414833	0.0668665753456019	0.00675041386068292	-3.48003047479315	0.00658147346906777	0.000505798422236068	5.27761884604924	0.09578001091361	464841.646678063	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep17
7793	1	3	0.00147208401979024	0.638871529276182	0.026311117273347	0.00627023900751563	-4.36071525380759	0.026311117273347	0.00225203809444546	-25.5663983403118	0.026311117273347	464841.21479289	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep17
1619	1	3	0.00198102575963689	-0.276212642079704	0.108822909502571	0.0063212672516559	-4.89497325259662	0	0.00187870832115932	-46.6346788342175	0.00937702352730678	461667.06051049	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep19
3973	1	3	0.00213264943194803	-37.9019371383243	0.0236068095878641	0.000653703163506534	3.18776357634504	0.0236068095878641	0.00733919170508226	-4.00602215452661	0.0236068095878641	461666.968759725	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep19
2642	1	3	0.000561926718259838	4.71160799827579	0.220332143327717	0.00694693702789428	-3.75411720349548	3.20505741110488e-05	0.00267213033001651	-28.8184680598648	0.0501823813239598	463082.621383045	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep20
3446	1	3	0.000938721289736274	1.89460614733289	0.0241843760512572	0.00244935638653142	-31.0983170344482	0.0241843760512572	0.00680387640841745	-4.12976722003502	0.0241843760512572	463082.296336601	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep20
8475	1	3	0.00490687587963718	-1.70034924523693	0.0397561744116453	0.00412078357164314	-9.44414804320476	0.0134527131834972	0.000913107399217072	-52.0539498331824	0	460080.535199932	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep24
8071	1	3	0.00358855964999479	-0.977970946726167	0.0267024037016111	0.00502457692991953	-7.11169135183623	0.0267024037016111	0.0012912295034625	-37.2168641988807	0.0267024037016111	460079.61485344	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep24
373	1	3	0.000280496834846523	16.7585664085855	0.00108720576746446	0.00318534806979324	-19.8567342467275	0.0754781384858884	0.0064365056562701	-2.97667999447818	0.000450755942501506	462138.155510083	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep25
1607	1	3	0.000185912116013296	10.4380228750989	0.0244987719085939	0.00658516447745728	-2.8395653957209	0.0244987719085939	0.00312301264010345	-19.2102855791718	0.0244987719085939	462138.107933276	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep25
9944	1	3	0.00343026879074212	-1.16010438140442	0.0655136128801847	0.00473724708444258	-5.8483442124387	0.00402578594467671	0.0019211128756643	-34.6648887540851	0	462716.427315308	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep26
8533	1	3	0.00249163359878759	-27.3081435416271	0.0253056454546493	0.000654064850554323	3.04893743456542	0.0253056454546493	0.00690587741977158	-3.73790123054106	0.0253056454546493	462715.819016434	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep26
451	1	3	0.00296001016392531	-22.69858171861	0.0331866097774092	0.00669305307036572	-3.32830196910649	0.0203364871767885	0.000395849229979671	6.53420010045838	0.0313560612887282	462616.254639353	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep27
4749	1	3	0.000433278609776442	5.2519624505219	0.0243690701044188	0.00671937725767385	-3.38631396811152	0.0243690701044188	0.00289733172151383	-22.9553207652358	0.0243690701044188	462616.242500222	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep27
