run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
70	2	3	5090.58536034234	-12.2331518310575	0.00779079914041289	2893.25236870972	-0.526356252407271	0	96712.6209267946	5000	2500	 -10	0	0	0
40	3	3	2658.40629063054	-0.481958948648597	0.012967899857908	4756.10661583462	-9.41548246806804	0	95737.8623163376	5000	2500	 -10	0	0	0
55	3	3	5251.18831928471	-9.25335973608092	0	2215.80154936012	0.384283747967833	0	96092.5897788378	5000	2500	 -10	0	0	0
97	3	3	4876.13648751912	-11.1549473933104	0.00243491926376776	2814.99795571935	-0.389464225253028	2.22044604925031e-18	96668.5324012786	5000	2500	 -10	0	0	0
92	2	3	2772.97237266931	-0.233552068131817	0	4897.44831079183	-11.3597936305626	0	96572.8830837033	5000	2500	 -10	0	0	0
70	2	3	4457.65578826635	-11.9397376108121	0.00546324506505095	3020.54515566739	-0.564894747619985	0	94661.2976237542	5000	2500	 -10	0	0	0
4	2	3	2620.48293230671	-0.246838289232686	0.00177697240494789	4945.89788205997	-10.1685585198206	0	96313.354357121	5000	2500	 -10	0	0	0
34	3	3	3279.51749227777	-0.846328376480122	0.0152647127199451	4605.06198704965	-13.8095480004332	0	95747.5643730291	5000	2500	 -10	0	0	0
80	3	3	5037.77817059288	-10.5339716835848	0.00477644711280656	2615.61321644352	-0.267880071151286	0	95822.5080411996	5000	2500	 -10	0	0	0
41	3	3	4960.8371639547	-9.07528383688991	0	2287.2675776415	0.249190173150692	5.99520433297585e-17	94776.902635322	5000	2500	 -10	0	0	0
1	4	3	5072.92012972153	-10.9716763173305	0	2637.62762871353	-0.135200510652996	0	96526.5336512314	5000	2500	 -10	0	0	0
72	2	3	4545.35973447681	-10.5500142484444	0	2863.41278559714	-0.534134184966558	0.00684776372434621	95122.3279998501	5000	2500	 -10	0	0	0
37	2	3	4699.06491757582	-12.0395377613986	8.88178419700125e-18	2925.72366966598	-0.45940289545622	0	95228.7480882478	5000	2500	 -10	0	0	0
76	4	3	1996.96034686425	0.576673469643314	0.00117478195568423	5226.79807358415	-7.96417127040391	0	96036.5827966154	5000	2500	 -10	0	0	0
6	3	3	5177.39332879839	-10.3537835817573	0.00507604152484154	2598.40561657011	-0.157568711891802	0	97984.9114445759	5000	2500	 -10	0	0	0
47	3	3	2029.46933984316	0.463565677441289	6.66133814775094e-18	5379.83164790199	-8.53904652734092	0	95623.7777128798	5000	2500	 -10	0	0	0
48	3	3	4925.85871635924	-9.01656013500743	0	2372.99565479598	0.122270567850753	2.22044604925031e-18	96028.3011691074	5000	2500	 -10	0	0	0
23	2	3	2496.27229162224	0.0695959227482076	0	5357.75375099142	-10.8657816048628	4.44089209850063e-18	97299.5472256791	5000	2500	 -10	0	0	0
70	3	3	4363.69672468306	-10.8964744316558	0	3080.79495046252	-0.776743771468369	0.0109100859234964	95656.6859141527	5000	2500	 -10	0	0	0
93	4	3	5207.21764956329	-14.0326707172361	0	2882.72105124039	-0.354578563279415	0	95118.0328336389	5000	2500	 -10	0	0	0
87	2	3	2302.51828297892	0.160420162949668	0	5104.36652175661	-8.96798984635404	0	96480.4109015399	5000	2500	 -10	0	0	0
41	2	3	5175.40200241424	-9.25291790820361	0.00225928307776867	2259.48066540924	0.145859844624692	0	94993.1141960371	5000	2500	 -10	0	0	0
61	2	3	2138.97325916729	0.544753318702913	0	5479.52594628689	-9.62706543496117	4.88498130835069e-17	96009.0613575231	5000	2500	 -10	0	0	0
64	2	3	5185.73996797002	-8.81197679011386	0	2226.23801688179	0.40455610106569	0	97376.0698381835	5000	2500	 -10	0	0	0
18	4	3	2315.12206094657	0.202312800026236	0.00248506675940087	5154.72401805373	-8.70839578112102	0	98483.3368503859	5000	2500	 -10	0	0	0
76	4	3	2207.84981827787	0.134659152666701	0.00710860858127184	5205.18906130813	-8.67261057105411	0	95950.0299713718	5000	2500	 -10	0	0	0
94	3	3	4995.38481438477	-9.83387208707986	0	2510.970154454	-0.085753790518563	0	96219.5928689841	5000	2500	 -10	0	0	0
85	3	3	2704.04209202187	-0.24028029152467	0	4614.61264081316	-9.79628682908881	0.00177208280360366	96243.1445410466	5000	2500	 -10	0	0	0
27	3	3	2147.27928169139	0.35386854349514	4.44089209850063e-18	5502.7099447539	-9.7365306861634	0	94996.4119297172	5000	2500	 -10	0	0	0
100	2	3	2513.28831939836	-0.0133582467362322	0	4948.144792312	-9.72434649586768	0	96631.2214444983	5000	2500	 -10	0	0	0
59	2	3	5058.01871174482	-10.1636825480344	0	2500.41092111823	0.0564889244896535	0	96529.5751808725	5000	2500	 -10	0	0	0
60	2	3	5048.10795644876	-9.87342923019918	1.11022302462516e-16	2401.23282528918	0.236504375164445	0	95962.9015038446	5000	2500	 -10	0	0	0
98	4	3	2778.39085396636	-0.308813445884372	0	4661.85659766345	-10.542298217665	6.23945339839338e-16	96025.6846565529	5000	2500	 -10	0	0	0
38	2	3	5280.39927000506	-9.25376835100397	0	2210.21724489752	0.462330969285339	0	96693.0970034568	5000	2500	 -10	0	0	0
56	3	3	2764.06444523206	-0.218200495132985	2.66453525910038e-17	4877.89765893642	-11.2083077754425	0	96651.0744780738	5000	2500	 -10	0	0	0
2	3	3	3190.61573860345	-0.8324949875532	0.0130304190767246	4471.48683997404	-11.7320397107657	0	96765.6068823669	5000	2500	 -10	0	0	0
56	2	3	3012.30499830849	-0.527141340854447	3.33066907387547e-17	4544.34370304192	-11.8569936976475	0	95781.8839029821	5000	2500	 -10	0	0	0
64	3	3	4661.23197954073	-11.4523466670726	0	2808.60766008611	-0.276059913124015	0	94794.6208633539	5000	2500	 -10	0	0	0
54	2	3	4738.52868354124	-9.48260401161285	0.000420177470741063	2500.19839145312	-0.00722802215533164	0	94997.2625480768	5000	2500	 -10	0	0	0
45	3	3	4680.48159895269	-13.7476071691114	0.00968562784199051	3227.47047856239	-0.729522373313433	0	96426.8839281037	5000	2500	 -10	0	0	0
